# s      x(s)
0.0000 1.0000
0.0062 0.9938
0.0123 0.9877
0.0185 0.9815
0.0247 0.9754
0.0308 0.9692
0.0370 0.9631
0.0432 0.9569
0.0493 0.9507
0.0555 0.9446
0.0617 0.9384
0.0678 0.9322
0.0740 0.9261
0.0802 0.9199
0.0863 0.9138
0.0925 0.9076
0.0987 0.9014
0.1048 0.8952
0.1110 0.8891
0.1172 0.8829
0.1233 0.8767
0.1295 0.8706
0.1357 0.8644
0.1418 0.8583
0.1480 0.8521
0.1542 0.8459
0.1603 0.8398
0.1665 0.8336
0.1727 0.8274
0.1789 0.8212
0.1850 0.8151
0.1912 0.8089
0.1974 0.8027
0.2035 0.7966
0.2097 0.7904
0.2159 0.7842
0.2220 0.7781
0.2282 0.7719
0.2344 0.7657
0.2405 0.7596
0.2467 0.7534
0.2529 0.7472
0.2590 0.7411
0.2652 0.7349
0.2714 0.7287
0.2775 0.7226
0.2837 0.7164
0.2899 0.7102
0.2960 0.7041
0.3022 0.6979
0.3084 0.6918
0.3145 0.6856
0.3207 0.6794
0.3269 0.6733
0.3330 0.6671
0.3392 0.6609
0.3454 0.6548
0.3515 0.6486
0.3577 0.6424
0.3639 0.6363
0.3700 0.6301
0.3762 0.6239
0.3824 0.6178
0.3885 0.6116
0.3947 0.6055
0.4009 0.5993
0.4070 0.5931
0.4132 0.5870
0.4194 0.5808
0.4255 0.5746
0.4317 0.5685
0.4379 0.5623
0.4440 0.5561
0.4502 0.5500
0.4564 0.5438
0.4625 0.5377
0.4687 0.5315
0.4749 0.5253
0.4810 0.5192
0.4872 0.5130
0.4934 0.5069
0.4996 0.5007
0.5057 0.4945
0.5119 0.4884
0.5181 0.4822
0.5242 0.4760
0.5304 0.4699
0.5366 0.4637
0.5427 0.4576
0.5489 0.4514
0.5551 0.4452
0.5612 0.4391
0.5674 0.4329
0.5736 0.4268
0.5797 0.4206
0.5859 0.4144
0.5921 0.4083
0.5982 0.4021
0.6044 0.3959
0.6106 0.3898
0.6167 0.3836
0.6229 0.3775
0.6291 0.3713
0.6352 0.3651
0.6414 0.3590
0.6476 0.3528
0.6537 0.3467
0.6599 0.3405
0.6661 0.3343
0.6722 0.3282
0.6784 0.3220
0.6846 0.3159
0.6907 0.3097
0.6969 0.3035
0.7031 0.2974
0.7092 0.2912
0.7154 0.2850
0.7216 0.2789
0.7277 0.2727
0.7339 0.2666
0.7401 0.2604
0.7462 0.2542
0.7524 0.2481
0.7586 0.2419
0.7647 0.2357
0.7709 0.2296
0.7771 0.2234
0.7832 0.2173
0.7894 0.2111
0.7956 0.2049
0.8017 0.1988
0.8079 0.1926
0.8141 0.1864
0.8203 0.1803
0.8264 0.1741
0.8326 0.1679
0.8388 0.1618
0.8449 0.1556
0.8511 0.1494
0.8573 0.1433
0.8634 0.1371
0.8696 0.1309
0.8758 0.1248
0.8819 0.1186
0.8881 0.1124
0.8943 0.1063
0.9004 0.1001
0.9066 0.0939
0.9128 0.0878
0.9189 0.0816
0.9251 0.0754
0.9313 0.0693
0.9374 0.0631
0.9436 0.0570
0.9498 0.0508
