#    x        Cp  
   1.00000  0.03103
   0.99458  0.02953
   0.98607  0.02658
   0.97706  0.02340
   0.96751  0.02000
   0.95737  0.01638
   0.94658  0.01254
   0.93510  0.00848
   0.92292  0.00419
   0.91004 -0.00033
   0.89651 -0.00503
   0.88244 -0.00990
   0.86797 -0.01485
   0.85324 -0.01982
   0.83834 -0.02477
   0.82335 -0.02967
   0.80833 -0.03448
   0.79336 -0.03917
   0.77850 -0.04370
   0.76380 -0.04801
   0.74930 -0.05198
   0.73500 -0.05537
   0.72090 -0.05737
   0.70698 -0.05425
   0.69323 -0.05426
   0.67963 -0.08494
   0.66620 -0.13633
   0.65300 -0.20443
   0.64009 -0.28365
   0.62751 -0.36836
   0.61520 -0.45103
   0.60305 -0.52676
   0.59086 -0.58929
   0.57843 -0.63791
   0.56563 -0.67718
   0.55240 -0.71009
   0.53881 -0.74356
   0.52500 -0.77647
   0.51109 -0.80887
   0.49712 -0.83918
   0.48307 -0.86758
   0.46893 -0.89456
   0.45469 -0.92182
   0.44038 -0.94906
   0.42605 -0.97707
   0.41173 -1.00538
   0.39743 -1.03436
   0.38315 -1.06045
   0.36888 -1.08437
   0.35462 -1.11401
   0.34036 -1.13793
   0.32613 -1.16515
   0.31193 -1.19396
   0.29779 -1.21884
   0.28372 -1.25399
   0.26975 -1.28281
   0.25590 -1.30897
   0.24215 -1.34649
   0.22853 -1.37856
   0.21505 -1.41042
   0.20174 -1.44936
   0.18865 -1.48322
   0.17582 -1.52650
   0.16330 -1.56744
   0.15112 -1.61205
   0.13932 -1.65442
   0.12794 -1.71016
   0.11705 -1.75072
   0.10673 -1.80627
   0.09703 -1.86037
   0.08800 -1.90267
   0.07967 -1.95887
   0.07204 -2.01893
   0.06510 -2.08793
   0.05880 -2.16680
   0.05308 -2.23821
   0.04786 -2.30165
   0.04308 -2.39057
   0.03869 -2.45658
   0.03465 -2.51172
   0.03094 -2.61506
   0.02753 -2.67254
   0.02438 -2.76868
   0.02149 -2.92678
   0.01882 -3.06376
   0.01637 -3.16377
   0.01412 -3.38977
   0.01205 -4.01563
   0.01015 -4.11344
   0.00841 -4.21477
   0.00681 -4.33942
   0.00535 -4.52674
   0.00406 -4.83025
   0.00296 -4.84333
   0.00206 -4.72698
   0.00134 -4.41595
   0.00077 -4.03308
   0.00035 -3.63221
   0.00007 -3.24391
  -0.00008 -2.92203
  -0.00011 -2.54017
  -0.00001 -2.15729
   0.00021 -1.80569
   0.00055 -1.52774
   0.00103 -1.08006
   0.00164 -0.87294
   0.00239 -0.52122
   0.00329 -0.30421
   0.00435 -0.02299
   0.00559  0.20717
   0.00702  0.41836
   0.00864  0.59461
   0.01043  0.72249
   0.01238  0.82213
   0.01450  0.89123
   0.01679  0.93561
   0.01928  0.96755
   0.02199  0.98899
   0.02494  0.99773
   0.02814  0.99966
   0.03161  0.99610
   0.03539  0.98546
   0.03951  0.97014
   0.04399  0.95419
   0.04887  0.92948
   0.05421  0.90531
   0.06005  0.87572
   0.06648  0.84703
   0.07360  0.81417
   0.08145  0.77626
   0.09007  0.74091
   0.09944  0.70215
   0.10954  0.65801
   0.12032  0.62193
   0.13172  0.57748
   0.14366  0.53956
   0.15603  0.50238
   0.16879  0.46516
   0.18189  0.42973
   0.19529  0.39371
   0.20893  0.36012
   0.22277  0.33034
   0.23678  0.29854
   0.25093  0.26720
   0.26518  0.24049
   0.27953  0.21210
   0.29397  0.18559
   0.30848  0.16076
   0.32306  0.13382
   0.33769  0.10932
   0.35234  0.08738
   0.36699  0.06023
   0.38159  0.03892
   0.39616  0.01358
   0.41073 -0.00687
   0.42535 -0.02633
   0.44001 -0.04685
   0.45467 -0.06630
   0.46927 -0.08908
   0.48374 -0.10992
   0.49809 -0.13244
   0.51234 -0.15330
   0.52653 -0.17373
   0.54059 -0.19538
   0.55439 -0.21923
   0.56779 -0.24606
   0.58073 -0.27093
   0.59332 -0.28695
   0.60572 -0.29287
   0.61815 -0.28293
   0.63082 -0.26735
   0.64383 -0.24727
   0.65721 -0.22725
   0.67089 -0.20861
   0.68482 -0.19212
   0.69894 -0.17877
   0.71325 -0.16717
   0.72779 -0.15630
   0.74255 -0.10069
   0.75757 -0.03962
   0.77282 -0.02207
   0.78822 -0.00516
   0.80362  0.01327
   0.81882  0.03292
   0.83370  0.05088
   0.84824  0.06712
   0.86252  0.08000
   0.87658  0.09104
   0.89030  0.10097
   0.90351  0.11260
   0.91600  0.12572
   0.92773  0.13391
   0.93873  0.13371
   0.94911  0.12326
   0.95896  0.09794
   0.96837  0.05604
   0.97740 -0.00851
   0.98610 -0.10582
   0.99453 -0.35183
   1.00000  0.03103
