#    x        Cp  
   1.00000  0.49161
   0.99039  0.40468
   0.97264  0.39031
   0.95021  0.36159
   0.92272  0.30582
   0.89008  0.23378
   0.85360  0.16391
   0.81523  0.08609
   0.77702  0.00534
   0.73986 -0.07448
   0.70394 -0.15281
   0.66933 -0.22621
   0.63610 -0.29842
   0.60409 -0.35257
   0.57188 -0.31745
   0.53797 -0.25863
   0.50268 -0.21767
   0.46660 -0.16931
   0.43005 -0.12303
   0.39347 -0.07546
   0.35691 -0.01981
   0.32049  0.03970
   0.28436  0.10455
   0.24879  0.17499
   0.21398  0.25533
   0.18029  0.34480
   0.14837  0.44283
   0.11906  0.55123
   0.09334  0.66433
   0.07194  0.77162
   0.05492  0.86608
   0.04163  0.93883
   0.03116  0.98652
   0.02277  0.99919
   0.01599  0.95994
   0.01050  0.82774
   0.00614  0.50572
   0.00294 -0.08546
   0.00092 -0.90354
   0.00001 -1.69494
  -0.00005 -2.52730
   0.00070 -3.42418
   0.00238 -4.26382
   0.00514 -4.77561
   0.00911 -4.40679
   0.01429 -3.74902
   0.02073 -3.12355
   0.02867 -2.66838
   0.03852 -2.38916
   0.05095 -2.18045
   0.06688 -1.95899
   0.08732 -1.77883
   0.11258 -1.65026
   0.14206 -1.52253
   0.17465 -1.41403
   0.20923 -1.32553
   0.24506 -1.25010
   0.28165 -1.18682
   0.31876 -1.13054
   0.35615 -1.08529
   0.39353 -1.04796
   0.43091 -1.00234
   0.46827 -0.96550
   0.50509 -0.94191
   0.54100 -0.91417
   0.57535 -0.91996
   0.60803 -0.87423
   0.64091 -0.71253
   0.67533 -0.55010
   0.71139 -0.39226
   0.74896 -0.24055
   0.78772 -0.09858
   0.82638  0.03374
   0.86327  0.14439
   0.89740  0.23892
   0.92710  0.33644
   0.95209  0.39889
   0.97306  0.42375
   0.99034  0.42579
   1.00000  0.49161
