#    x        Cp  
   1.00000  0.48229
   0.99039  0.37688
   0.97264  0.34966
   0.95021  0.30697
   0.92272  0.23284
   0.89008  0.13692
   0.85360  0.03916
   0.81523 -0.07192
   0.77702 -0.19073
   0.73986 -0.31259
   0.70394 -0.43704
   0.66933 -0.56012
   0.63610 -0.68667
   0.60409 -0.79474
   0.57188 -0.78785
   0.53797 -0.75054
   0.50268 -0.74016
   0.46660 -0.72187
   0.43005 -0.70968
   0.39347 -0.69918
   0.35691 -0.68054
   0.32049 -0.66087
   0.28436 -0.63902
   0.24879 -0.61586
   0.21398 -0.58458
   0.18029 -0.54762
   0.14837 -0.50645
   0.11906 -0.45173
   0.09334 -0.38421
   0.07194 -0.30843
   0.05492 -0.23815
   0.04163 -0.16500
   0.03116 -0.07413
   0.02277 -0.00180
   0.01599  0.06543
   0.01050  0.15230
   0.00614  0.27133
   0.00294  0.50592
   0.00092  0.77247
   0.00001  0.95202
  -0.00005  0.99913
   0.00070  0.92180
   0.00238  0.72139
   0.00514  0.44375
   0.00911  0.23695
   0.01429  0.12666
   0.02073  0.07422
   0.02867  0.03155
   0.03852 -0.02959
   0.05095 -0.09703
   0.06688 -0.14702
   0.08732 -0.19918
   0.11258 -0.25932
   0.14206 -0.30255
   0.17465 -0.33681
   0.20923 -0.36537
   0.24506 -0.38801
   0.28165 -0.40734
   0.31876 -0.42272
   0.35615 -0.43880
   0.39353 -0.45502
   0.43091 -0.46098
   0.46827 -0.46960
   0.50509 -0.48510
   0.54100 -0.49467
   0.57535 -0.52835
   0.60803 -0.51883
   0.64091 -0.41218
   0.67533 -0.30047
   0.71139 -0.18861
   0.74896 -0.07781
   0.78772  0.02830
   0.82638  0.13008
   0.86327  0.21636
   0.89740  0.29112
   0.92710  0.37225
   0.95209  0.42303
   0.97306  0.43811
   0.99034  0.43072
   1.00000  0.48229
