#    x        Cp  
   1.00000  0.48189
   0.99039  0.37922
   0.97264  0.35409
   0.95021  0.31364
   0.92272  0.24240
   0.89008  0.15026
   0.85360  0.05700
   0.81523 -0.04867
   0.77702 -0.16121
   0.73986 -0.27607
   0.70394 -0.39275
   0.66933 -0.50737
   0.63610 -0.62457
   0.60409 -0.72321
   0.57188 -0.71093
   0.53797 -0.66923
   0.50268 -0.65285
   0.46660 -0.62852
   0.43005 -0.60945
   0.39347 -0.59137
   0.35691 -0.56492
   0.32049 -0.53666
   0.28436 -0.50527
   0.24879 -0.47131
   0.21398 -0.42822
   0.18029 -0.37784
   0.14837 -0.32109
   0.11906 -0.24953
   0.09334 -0.16431
   0.07194 -0.07085
   0.05492  0.01965
   0.04163  0.11178
   0.03116  0.21733
   0.02277  0.30962
   0.01599  0.40138
   0.01050  0.51085
   0.00614  0.64563
   0.00294  0.82953
   0.00092  0.97183
   0.00001  0.99167
  -0.00005  0.88558
   0.00070  0.65810
   0.00238  0.32132
   0.00514 -0.04859
   0.00911 -0.24903
   0.01429 -0.30907
   0.02073 -0.30513
   0.02867 -0.30293
   0.03852 -0.33308
   0.05095 -0.37423
   0.06688 -0.39576
   0.08732 -0.42241
   0.11258 -0.46114
   0.14206 -0.48374
   0.17465 -0.50007
   0.20923 -0.51347
   0.24506 -0.52305
   0.28165 -0.53116
   0.31876 -0.53661
   0.35615 -0.54408
   0.39353 -0.55269
   0.43091 -0.55115
   0.46827 -0.55312
   0.50509 -0.56289
   0.54100 -0.56690
   0.57535 -0.59654
   0.60803 -0.58145
   0.64091 -0.46576
   0.67533 -0.34564
   0.71139 -0.22607
   0.74896 -0.10832
   0.78772  0.00393
   0.82638  0.11102
   0.86327  0.20157
   0.89740  0.27983
   0.92710  0.36395
   0.95209  0.41684
   0.97306  0.43359
   0.99034  0.42774
   1.00000  0.48189
