#    x        Cp  
   1.00000  0.09049
   0.99458  0.08886
   0.98607  0.08555
   0.97706  0.08198
   0.96751  0.07816
   0.95737  0.07411
   0.94658  0.06982
   0.93510  0.06529
   0.92292  0.06052
   0.91004  0.05553
   0.89651  0.05034
   0.88244  0.04500
   0.86797  0.03959
   0.85324  0.03417
   0.83834  0.02882
   0.82335  0.02359
   0.80833  0.01858
   0.79336  0.01394
   0.77850  0.00997
   0.76380  0.00766
   0.74930  0.01226
   0.73500  0.01074
   0.72090 -0.02369
   0.70698 -0.07836
   0.69323 -0.14812
   0.67963 -0.22807
   0.66620 -0.31274
   0.65300 -0.39843
   0.64009 -0.48289
   0.62751 -0.56477
   0.61520 -0.63864
   0.60305 -0.70236
   0.59086 -0.74967
   0.57843 -0.78183
   0.56563 -0.80557
   0.55240 -0.82465
   0.53881 -0.84706
   0.52500 -0.87072
   0.51109 -0.89513
   0.49712 -0.91811
   0.48307 -0.93983
   0.46893 -0.96053
   0.45469 -0.98218
   0.44038 -1.00413
   0.42605 -1.02729
   0.41173 -1.05126
   0.39743 -1.07597
   0.38315 -1.09774
   0.36888 -1.11722
   0.35462 -1.14322
   0.34036 -1.16290
   0.32613 -1.18615
   0.31193 -1.21154
   0.29779 -1.23190
   0.28372 -1.26384
   0.26975 -1.28876
   0.25590 -1.31067
   0.24215 -1.34461
   0.22853 -1.37257
   0.21505 -1.39995
   0.20174 -1.43484
   0.18865 -1.46409
   0.17582 -1.50287
   0.16330 -1.53903
   0.15112 -1.57841
   0.13932 -1.61548
   0.12794 -1.66590
   0.11705 -1.70035
   0.10673 -1.74974
   0.09703 -1.79768
   0.08800 -1.83278
   0.07967 -1.88215
   0.07204 -1.93478
   0.06510 -1.99684
   0.05880 -2.06836
   0.05308 -2.13261
   0.04786 -2.18845
   0.04308 -2.27025
   0.03869 -2.32823
   0.03465 -2.37648
   0.03094 -2.47327
   0.02753 -2.52578
   0.02438 -2.61833
   0.02149 -2.77691
   0.01882 -2.92300
   0.01637 -3.03597
   0.01412 -3.22376
   0.01205 -3.35469
   0.01015 -3.53796
   0.00841 -3.88160
   0.00681 -4.02145
   0.00535 -4.21075
   0.00406 -4.51416
   0.00296 -4.47727
   0.00206 -4.33357
   0.00134 -4.01968
   0.00077 -3.63810
   0.00035 -3.24896
   0.00007 -2.85987
  -0.00008 -2.55718
  -0.00011 -2.19011
  -0.00001 -1.82571
   0.00021 -1.48425
   0.00055 -1.23869
   0.00103 -0.80210
   0.00164 -0.62197
   0.00239 -0.29193
   0.00329 -0.09769
   0.00435  0.15735
   0.00559  0.36059
   0.00702  0.54320
   0.00864  0.69249
   0.01043  0.79861
   0.01238  0.87889
   0.01450  0.93261
   0.01679  0.96522
   0.01928  0.98624
   0.02199  0.99804
   0.02494  0.99991
   0.02814  0.99471
   0.03161  0.98691
   0.03539  0.97078
   0.03951  0.95153
   0.04399  0.93221
   0.04887  0.90424
   0.05421  0.87749
   0.06005  0.84566
   0.06648  0.81563
   0.07360  0.78108
   0.08145  0.74204
   0.09007  0.70599
   0.09944  0.66634
   0.10954  0.62181
   0.12032  0.58596
   0.13172  0.54112
   0.14366  0.50396
   0.15603  0.46720
   0.16879  0.43055
   0.18189  0.39592
   0.19529  0.36052
   0.20893  0.32802
   0.22277  0.29925
   0.23678  0.26826
   0.25093  0.23789
   0.26518  0.21247
   0.27953  0.18493
   0.29397  0.15963
   0.30848  0.13599
   0.32306  0.11001
   0.33769  0.08676
   0.35234  0.06609
   0.36699  0.03978
   0.38159  0.01996
   0.39616 -0.00449
   0.41073 -0.02349
   0.42535 -0.04157
   0.44001 -0.06088
   0.45467 -0.07883
   0.46927 -0.10065
   0.48374 -0.12013
   0.49809 -0.14148
   0.51234 -0.16090
   0.52653 -0.17998
   0.54059 -0.20026
   0.55439 -0.22300
   0.56779 -0.24917
   0.58073 -0.27325
   0.59332 -0.28839
   0.60572 -0.29302
   0.61815 -0.28102
   0.63082 -0.26352
   0.64383 -0.24168
   0.65721 -0.22101
   0.67089 -0.20322
   0.68482 -0.18861
   0.69894 -0.17091
   0.71325 -0.10002
   0.72779 -0.08295
   0.74255 -0.06267
   0.75757 -0.04067
   0.77282 -0.01805
   0.78822  0.00531
   0.80362  0.02851
   0.81882  0.05157
   0.83370  0.07226
   0.84824  0.09096
   0.86252  0.10560
   0.87658  0.11867
   0.89030  0.13038
   0.90351  0.14391
   0.91600  0.15881
   0.92773  0.16888
   0.93873  0.17054
   0.94911  0.16229
   0.95896  0.13899
   0.96837  0.09997
   0.97740  0.03850
   0.98610 -0.05504
   0.99453 -0.30638
   1.00000  0.09049
