#    x        Cp  
   1.00000  0.48228
   0.99039  0.38248
   0.97264  0.35947
   0.95021  0.32130
   0.92272  0.25303
   0.89008  0.16476
   0.85360  0.07607
   0.81523 -0.02411
   0.77702 -0.13034
   0.73986 -0.23817
   0.70394 -0.34710
   0.66933 -0.45329
   0.63610 -0.56123
   0.60409 -0.65060
   0.57188 -0.63318
   0.53797 -0.58740
   0.50268 -0.56537
   0.46660 -0.53539
   0.43005 -0.50989
   0.39347 -0.48477
   0.35691 -0.45115
   0.32049 -0.41505
   0.28436 -0.37506
   0.24879 -0.33143
   0.21398 -0.27794
   0.18029 -0.21598
   0.14837 -0.14604
   0.11906 -0.06075
   0.09334  0.03817
   0.07194  0.14438
   0.05492  0.24868
   0.04163  0.35222
   0.03116  0.46374
   0.02277  0.56406
   0.01599  0.66349
   0.01050  0.77194
   0.00614  0.88676
   0.00294  0.98498
   0.00092  0.98000
   0.00001  0.83881
   0.00070  0.20906
   0.00238 -0.25256
   0.00514 -0.69369
   0.00911 -0.85187
   0.01429 -0.83035
   0.02073 -0.74717
   0.02867 -0.68471
   0.03852 -0.67345
   0.05095 -0.68034
   0.06688 -0.66659
   0.08732 -0.66236
   0.11258 -0.67559
   0.14206 -0.67435
   0.17465 -0.67034
   0.20923 -0.66680
   0.24506 -0.66197
   0.28165 -0.65779
   0.31876 -0.65248
   0.35615 -0.65066
   0.39353 -0.65111
   0.43091 -0.64162
   0.46827 -0.63654
   0.50509 -0.64025
   0.54100 -0.63843
   0.57535 -0.66378
   0.60803 -0.64290
   0.64091 -0.51809
   0.67533 -0.38951
   0.71139 -0.26223
   0.74896 -0.13757
   0.78772 -0.01922
   0.82638  0.09310
   0.86327  0.18786
   0.89740  0.26954
   0.92710  0.35656
   0.95209  0.41150
   0.97306  0.42991
   0.99034  0.42561
   1.00000  0.48228
