#    x        Cp  
   1.00000  0.40868
   0.99458  0.38288
   0.98607  0.36333
   0.97706  0.34629
   0.96751  0.32960
   0.95737  0.31202
   0.94658  0.29156
   0.93510  0.26675
   0.92292  0.23723
   0.91004  0.20354
   0.89651  0.16714
   0.88244  0.13032
   0.86797  0.09253
   0.85324  0.05346
   0.83834  0.01228
   0.82335 -0.03012
   0.80833 -0.07398
   0.79336 -0.11850
   0.77850 -0.16306
   0.76380 -0.20743
   0.74930 -0.25057
   0.73500 -0.29118
   0.72090 -0.32746
   0.70698 -0.36133
   0.69323 -0.46402
   0.67963 -0.65510
   0.66620 -0.66123
   0.65300 -0.66613
   0.64009 -0.67360
   0.62751 -0.68875
   0.61520 -0.72023
   0.60305 -0.75237
   0.59086 -0.76777
   0.57843 -0.76839
   0.56563 -0.76068
   0.55240 -0.75017
   0.53881 -0.74361
   0.52500 -0.73928
   0.51109 -0.73504
   0.49712 -0.73094
   0.48307 -0.72579
   0.46893 -0.72011
   0.45469 -0.71489
   0.44038 -0.71092
   0.42605 -0.70748
   0.41173 -0.70366
   0.39743 -0.69960
   0.38315 -0.69386
   0.36888 -0.68803
   0.35462 -0.68142
   0.34036 -0.67450
   0.32613 -0.66701
   0.31193 -0.65937
   0.29779 -0.65149
   0.28372 -0.64386
   0.26975 -0.63588
   0.25590 -0.62597
   0.24215 -0.61622
   0.22853 -0.60532
   0.21505 -0.59245
   0.20174 -0.57998
   0.18865 -0.56625
   0.17582 -0.55245
   0.16330 -0.53761
   0.15112 -0.51977
   0.13932 -0.50179
   0.12794 -0.48283
   0.11705 -0.45990
   0.10673 -0.43498
   0.09703 -0.40849
   0.08800 -0.37945
   0.07967 -0.35031
   0.07204 -0.32319
   0.06510 -0.30185
   0.05880 -0.27678
   0.05308 -0.25141
   0.04786 -0.22472
   0.04308 -0.19453
   0.03869 -0.16342
   0.03465 -0.13087
   0.03094 -0.09851
   0.02753 -0.06701
   0.02438 -0.03894
   0.02149 -0.01692
   0.01882  0.00469
   0.01637  0.02615
   0.01412  0.05847
   0.01205  0.09551
   0.01015  0.13735
   0.00841  0.19170
   0.00681  0.24225
   0.00535  0.28815
   0.00406  0.35240
   0.00296  0.44927
   0.00206  0.56391
   0.00134  0.68491
   0.00077  0.78088
   0.00035  0.86667
   0.00007  0.92433
  -0.00008  0.97128
  -0.00011  0.99459
  -0.00001  0.99958
   0.00021  0.98434
   0.00055  0.95165
   0.00103  0.90268
   0.00164  0.83347
   0.00239  0.75069
   0.00329  0.65941
   0.00435  0.54921
   0.00559  0.44439
   0.00702  0.35916
   0.00864  0.30534
   0.01043  0.25425
   0.01238  0.21190
   0.01450  0.17061
   0.01679  0.14016
   0.01928  0.11398
   0.02199  0.09453
   0.02494  0.08085
   0.02814  0.06449
   0.03161  0.04046
   0.03539  0.01625
   0.03951 -0.01096
   0.04399 -0.03529
   0.04887 -0.06325
   0.05421 -0.08426
   0.06005 -0.10584
   0.06648 -0.12585
   0.07360 -0.14336
   0.08145 -0.16460
   0.09007 -0.18763
   0.09944 -0.21224
   0.10954 -0.23489
   0.12032 -0.25527
   0.13172 -0.27329
   0.14366 -0.28948
   0.15603 -0.30370
   0.16879 -0.31795
   0.18189 -0.33082
   0.19529 -0.34261
   0.20893 -0.35366
   0.22277 -0.36402
   0.23678 -0.37343
   0.25093 -0.38266
   0.26518 -0.39059
   0.27953 -0.39772
   0.29397 -0.40547
   0.30848 -0.41173
   0.32306 -0.41847
   0.33769 -0.42444
   0.35234 -0.43040
   0.36699 -0.43786
   0.38159 -0.44438
   0.39616 -0.45043
   0.41073 -0.45400
   0.42535 -0.45667
   0.44001 -0.45904
   0.45467 -0.46194
   0.46927 -0.46711
   0.48374 -0.47250
   0.49809 -0.47787
   0.51234 -0.48235
   0.52653 -0.48656
   0.54059 -0.49095
   0.55439 -0.49806
   0.56779 -0.50744
   0.58073 -0.51290
   0.59332 -0.50950
   0.60572 -0.49027
   0.61815 -0.45962
   0.63082 -0.43679
   0.64383 -0.42754
   0.65721 -0.42289
   0.67089 -0.41933
   0.68482 -0.41387
   0.69894 -0.18894
   0.71325 -0.14072
   0.72779 -0.11380
   0.74255 -0.08114
   0.75757 -0.04510
   0.77282 -0.00763
   0.78822  0.03073
   0.80362  0.06896
   0.81882  0.10640
   0.83370  0.14179
   0.84824  0.17456
   0.86252  0.20451
   0.87658  0.23309
   0.89030  0.26107
   0.90351  0.28964
   0.91600  0.31760
   0.92773  0.34131
   0.93873  0.35969
   0.94911  0.37287
   0.95896  0.38076
   0.96837  0.38466
   0.97740  0.38612
   0.98610  0.38578
   0.99453  0.38571
   1.00000  0.40868
