#    x        Cp  
   1.00000  0.26241
   0.99361  0.17442
   0.98319  0.10360
   0.97205  0.04500
   0.96053 -0.00739
   0.94889 -0.04892
   0.93716 -0.07737
   0.92532 -0.10088
   0.91338 -0.12458
   0.90137 -0.14557
   0.88932 -0.16642
   0.87723 -0.18713
   0.86514 -0.20911
   0.85305 -0.22889
   0.84095 -0.25067
   0.82886 -0.27140
   0.81679 -0.29266
   0.80472 -0.31371
   0.79266 -0.33283
   0.78059 -0.35386
   0.76853 -0.37484
   0.75649 -0.39613
   0.74447 -0.41642
   0.73246 -0.43812
   0.72045 -0.45716
   0.70844 -0.47707
   0.69643 -0.49598
   0.68443 -0.51650
   0.67242 -0.53418
   0.66042 -0.55352
   0.64841 -0.57287
   0.63640 -0.59065
   0.62440 -0.61041
   0.61241 -0.62945
   0.60042 -0.64905
   0.58843 -0.66639
   0.57643 -0.68333
   0.56443 -0.70217
   0.55243 -0.72108
   0.54044 -0.73781
   0.52843 -0.75558
   0.51642 -0.77379
   0.50441 -0.79206
   0.49240 -0.80970
   0.48040 -0.82927
   0.46840 -0.84825
   0.45641 -0.86787
   0.44442 -0.88682
   0.43244 -0.90606
   0.42045 -0.92365
   0.40846 -0.94483
   0.39649 -0.96689
   0.38453 -0.98729
   0.37257 -1.00821
   0.36062 -1.02912
   0.34867 -1.05155
   0.33673 -1.07580
   0.32481 -1.09907
   0.31290 -1.12415
   0.30100 -1.15039
   0.28913 -1.17862
   0.27728 -1.20831
   0.26547 -1.23865
   0.25368 -1.26912
   0.24191 -1.30244
   0.23018 -1.33728
   0.21849 -1.37590
   0.20685 -1.41622
   0.19527 -1.45987
   0.18375 -1.50493
   0.17230 -1.55439
   0.16093 -1.60906
   0.14967 -1.66827
   0.13852 -1.73113
   0.12750 -1.80082
   0.11663 -1.87542
   0.10595 -1.96023
   0.09550 -2.05136
   0.08534 -2.15902
   0.07556 -2.27981
   0.06623 -2.41174
   0.05745 -2.54741
   0.04931 -2.68942
   0.04191 -2.83701
   0.03532 -2.99254
   0.02957 -3.15058
   0.02464 -3.32651
   0.02044 -3.50814
   0.01688 -3.70482
   0.01386 -3.90600
   0.01129 -4.11704
   0.00910 -4.32538
   0.00723 -4.53318
   0.00562 -4.73254
   0.00425 -4.92050
   0.00310 -5.09644
   0.00214 -5.30929
   0.00137 -5.42559
   0.00078 -5.41719
   0.00035 -5.25721
   0.00009 -5.01459
   0.00000 -4.65637
   0.00008 -4.13696
   0.00037 -3.34077
   0.00085 -2.39766
   0.00154 -1.54992
   0.00244 -0.83244
   0.00356 -0.24244
   0.00491  0.21800
   0.00648  0.54195
   0.00827  0.74858
   0.01030  0.87575
   0.01262  0.95084
   0.01527  0.98888
   0.01833  0.99999
   0.02189  0.99210
   0.02606  0.97045
   0.03099  0.93879
   0.03683  0.90024
   0.04373  0.85766
   0.05175  0.81383
   0.06084  0.77125
   0.07084  0.73164
   0.08153  0.69576
   0.09269  0.66377
   0.10417  0.63593
   0.11588  0.61132
   0.12775  0.58939
   0.13972  0.56945
   0.15178  0.55192
   0.16389  0.53603
   0.17605  0.52115
   0.18824  0.50772
   0.20046  0.49594
   0.21271  0.48436
   0.22498  0.47383
   0.23725  0.46416
   0.24955  0.45556
   0.26186  0.44706
   0.27417  0.43925
   0.28651  0.43210
   0.29885  0.42549
   0.31121  0.41943
   0.32359  0.41356
   0.33597  0.40771
   0.34835  0.40256
   0.36074  0.39667
   0.37312  0.39225
   0.38551  0.38785
   0.39791  0.38332
   0.41030  0.37948
   0.42269  0.37559
   0.43507  0.37264
   0.44745  0.36926
   0.45983  0.36592
   0.47221  0.36230
   0.48459  0.36013
   0.49695  0.35720
   0.50931  0.35445
   0.52167  0.35195
   0.53402  0.34990
   0.54635  0.34744
   0.55868  0.34521
   0.57100  0.34308
   0.58333  0.34052
   0.59565  0.33907
   0.60796  0.33608
   0.62027  0.33436
   0.63259  0.33208
   0.64489  0.33040
   0.65720  0.32824
   0.66950  0.32654
   0.68179  0.32470
   0.69407  0.32304
   0.70636  0.32024
   0.71864  0.31976
   0.73091  0.31782
   0.74316  0.31604
   0.75541  0.31450
   0.76766  0.31257
   0.77990  0.31050
   0.79213  0.30888
   0.80436  0.30745
   0.81658  0.30518
   0.82878  0.30464
   0.84096  0.30174
   0.85313  0.30057
   0.86528  0.29847
   0.87740  0.29748
   0.88950  0.29441
   0.90157  0.29361
   0.91360  0.28988
   0.92559  0.28882
   0.93750  0.28568
   0.94930  0.28365
   0.96092  0.28235
   0.97226  0.27943
   0.98321  0.27497
   0.99357  0.27715
   1.00000  0.26241
