#    x        Cp  
   1.00000  0.18603
   0.99361  0.14966
   0.98319  0.10676
   0.97205  0.06636
   0.96053  0.02834
   0.94889 -0.00195
   0.93716 -0.02400
   0.92532 -0.04107
   0.91338 -0.05689
   0.90137 -0.07049
   0.88932 -0.08337
   0.87723 -0.09620
   0.86514 -0.10865
   0.85305 -0.12037
   0.84095 -0.13180
   0.82886 -0.14285
   0.81679 -0.15341
   0.80472 -0.16336
   0.79266 -0.17282
   0.78059 -0.18619
   0.76853 -0.20840
   0.75649 -0.24663
   0.74447 -0.29342
   0.73246 -0.30187
   0.72045 -0.30651
   0.70844 -0.31182
   0.69643 -0.31758
   0.68443 -0.32370
   0.67242 -0.33011
   0.66042 -0.33683
   0.64841 -0.34383
   0.63640 -0.35101
   0.62440 -0.35845
   0.61241 -0.36601
   0.60042 -0.37344
   0.58843 -0.38065
   0.57643 -0.38771
   0.56443 -0.39488
   0.55243 -0.40192
   0.54044 -0.40832
   0.52843 -0.41484
   0.51642 -0.42119
   0.50441 -0.42742
   0.49240 -0.43349
   0.48040 -0.43957
   0.46840 -0.44554
   0.45641 -0.45122
   0.44442 -0.45669
   0.43244 -0.46167
   0.42045 -0.46636
   0.40846 -0.47154
   0.39649 -0.47676
   0.38453 -0.48136
   0.37257 -0.48564
   0.36062 -0.48965
   0.34867 -0.49391
   0.33673 -0.49823
   0.32481 -0.50218
   0.31290 -0.50629
   0.30100 -0.51037
   0.28913 -0.51471
   0.27728 -0.51910
   0.26547 -0.52297
   0.25368 -0.52630
   0.24191 -0.52997
   0.23018 -0.53344
   0.21849 -0.53733
   0.20685 -0.54091
   0.19527 -0.54430
   0.18375 -0.54703
   0.17230 -0.54991
   0.16093 -0.55266
   0.14967 -0.55482
   0.13852 -0.55581
   0.12750 -0.55624
   0.11663 -0.55470
   0.10595 -0.55255
   0.09550 -0.54811
   0.08534 -0.54342
   0.07556 -0.53524
   0.06623 -0.52194
   0.05745 -0.49964
   0.04931 -0.46824
   0.04191 -0.42736
   0.03532 -0.37876
   0.02957 -0.32220
   0.02464 -0.26300
   0.02044 -0.19779
   0.01688 -0.12997
   0.01386 -0.05626
   0.01129  0.02283
   0.00910  0.10847
   0.00723  0.20208
   0.00562  0.30210
   0.00425  0.40980
   0.00310  0.52005
   0.00214  0.63145
   0.00137  0.74350
   0.00078  0.84995
   0.00035  0.93678
   0.00009  0.99012
   0.00000  0.99611
   0.00008  0.94084
   0.00037  0.82298
   0.00085  0.66215
   0.00154  0.47169
   0.00244  0.26977
   0.00356  0.08811
   0.00491 -0.04844
   0.00648 -0.13089
   0.00827 -0.18866
   0.01030 -0.23264
   0.01262 -0.26006
   0.01527 -0.27594
   0.01833 -0.28006
   0.02189 -0.27948
   0.02606 -0.27340
   0.03099 -0.26337
   0.03683 -0.24871
   0.04373 -0.23112
   0.05175 -0.21061
   0.06084 -0.18909
   0.07084 -0.16784
   0.08153 -0.14861
   0.09269 -0.13109
   0.10417 -0.11499
   0.11588 -0.10026
   0.12775 -0.08731
   0.13972 -0.07603
   0.15178 -0.06561
   0.16389 -0.05614
   0.17605 -0.04782
   0.18824 -0.04013
   0.20046 -0.03253
   0.21271 -0.02589
   0.22498 -0.01954
   0.23725 -0.01354
   0.24955 -0.00750
   0.26186 -0.00202
   0.27417  0.00338
   0.28651  0.00864
   0.29885  0.01376
   0.31121  0.01886
   0.32359  0.02364
   0.33597  0.02821
   0.34835  0.03253
   0.36074  0.03658
   0.37312  0.04076
   0.38551  0.04492
   0.39791  0.04890
   0.41030  0.05289
   0.42269  0.05691
   0.43507  0.06099
   0.44745  0.06487
   0.45983  0.06850
   0.47221  0.07208
   0.48459  0.07580
   0.49695  0.07931
   0.50931  0.08273
   0.52167  0.08611
   0.53402  0.08946
   0.54635  0.09259
   0.55868  0.09560
   0.57100  0.09842
   0.58333  0.10094
   0.59565  0.10342
   0.60796  0.10542
   0.62027  0.10696
   0.63259  0.10781
   0.64489  0.10784
   0.65720  0.11620
   0.66950  0.12740
   0.68179  0.13775
   0.69407  0.14473
   0.70636  0.14829
   0.71864  0.15102
   0.73091  0.15292
   0.74316  0.15442
   0.75541  0.15568
   0.76766  0.15744
   0.77990  0.15860
   0.79213  0.16039
   0.80436  0.16224
   0.81658  0.16402
   0.82878  0.16638
   0.84096  0.16794
   0.85313  0.17020
   0.86528  0.17212
   0.87740  0.17426
   0.88950  0.17602
   0.90157  0.17788
   0.91360  0.17906
   0.92559  0.18111
   0.93750  0.18242
   0.94930  0.18378
   0.96092  0.18557
   0.97226  0.18628
   0.98321  0.18374
   0.99357  0.18110
   1.00000  0.18603
