#    x        Cp  
   1.00000  0.42584
   0.99458  0.39446
   0.98607  0.37096
   0.97706  0.35169
   0.96751  0.33355
   0.95737  0.31492
   0.94658  0.29334
   0.93510  0.26711
   0.92292  0.23604
   0.91004  0.20086
   0.89651  0.16327
   0.88244  0.12578
   0.86797  0.08747
   0.85324  0.04788
   0.83834  0.00604
   0.82335 -0.03711
   0.80833 -0.08194
   0.79336 -0.12774
   0.77850 -0.17401
   0.76380 -0.22090
   0.74930 -0.26793
   0.73500 -0.31485
   0.72090 -0.36167
   0.70698 -0.40743
   0.69323 -0.45145
   0.67963 -0.49251
   0.66620 -0.52876
   0.65300 -0.67028
   0.64009 -0.68873
   0.62751 -0.71138
   0.61520 -0.74467
   0.60305 -0.77370
   0.59086 -0.78416
   0.57843 -0.78044
   0.56563 -0.76920
   0.55240 -0.75583
   0.53881 -0.74784
   0.52500 -0.74272
   0.51109 -0.73791
   0.49712 -0.73329
   0.48307 -0.72765
   0.46893 -0.72146
   0.45469 -0.71573
   0.44038 -0.71148
   0.42605 -0.70789
   0.41173 -0.70391
   0.39743 -0.69976
   0.38315 -0.69382
   0.36888 -0.68779
   0.35462 -0.68093
   0.34036 -0.67380
   0.32613 -0.66614
   0.31193 -0.65832
   0.29779 -0.65022
   0.28372 -0.64245
   0.26975 -0.63439
   0.25590 -0.62435
   0.24215 -0.61451
   0.22853 -0.60336
   0.21505 -0.59034
   0.20174 -0.57764
   0.18865 -0.56375
   0.17582 -0.54981
   0.16330 -0.53479
   0.15112 -0.51678
   0.13932 -0.49865
   0.12794 -0.47949
   0.11705 -0.45647
   0.10673 -0.43143
   0.09703 -0.40483
   0.08800 -0.37545
   0.07967 -0.34586
   0.07204 -0.31848
   0.06510 -0.29701
   0.05880 -0.27184
   0.05308 -0.24651
   0.04786 -0.21941
   0.04308 -0.18953
   0.03869 -0.15811
   0.03465 -0.12507
   0.03094 -0.09281
   0.02753 -0.06052
   0.02438 -0.03188
   0.02149 -0.00988
   0.01882  0.01201
   0.01637  0.03325
   0.01412  0.06575
   0.01205  0.10312
   0.01015  0.14500
   0.00841  0.19879
   0.00681  0.25072
   0.00535  0.29718
   0.00406  0.35901
   0.00296  0.45679
   0.00206  0.57116
   0.00134  0.69076
   0.00077  0.78594
   0.00035  0.87029
   0.00007  0.92814
  -0.00008  0.97305
  -0.00011  0.99551
  -0.00001  0.99927
   0.00021  0.98278
   0.00055  0.94921
   0.00103  0.89833
   0.00164  0.82828
   0.00239  0.74513
   0.00329  0.65099
   0.00435  0.54118
   0.00559  0.43506
   0.00702  0.34979
   0.00864  0.29690
   0.01043  0.24606
   0.01238  0.20298
   0.01450  0.16358
   0.01679  0.13248
   0.01928  0.10683
   0.02199  0.08819
   0.02494  0.07485
   0.02814  0.05922
   0.03161  0.03501
   0.03539  0.01039
   0.03951 -0.01659
   0.04399 -0.04052
   0.04887 -0.06860
   0.05421 -0.08895
   0.06005 -0.11074
   0.06648 -0.12994
   0.07360 -0.14743
   0.08145 -0.16838
   0.09007 -0.19154
   0.09944 -0.21612
   0.10954 -0.23843
   0.12032 -0.25873
   0.13172 -0.27638
   0.14366 -0.29240
   0.15603 -0.30639
   0.16879 -0.32060
   0.18189 -0.33327
   0.19529 -0.34487
   0.20893 -0.35589
   0.22277 -0.36605
   0.23678 -0.37541
   0.25093 -0.38446
   0.26518 -0.39235
   0.27953 -0.39931
   0.29397 -0.40703
   0.30848 -0.41313
   0.32306 -0.41982
   0.33769 -0.42570
   0.35234 -0.43169
   0.36699 -0.43917
   0.38159 -0.44579
   0.39616 -0.45190
   0.41073 -0.45532
   0.42535 -0.45780
   0.44001 -0.46001
   0.45467 -0.46294
   0.46927 -0.46847
   0.48374 -0.47420
   0.49809 -0.47996
   0.51234 -0.48476
   0.52653 -0.48937
   0.54059 -0.49438
   0.55439 -0.50297
   0.56779 -0.51504
   0.58073 -0.52386
   0.59332 -0.52490
   0.60572 -0.51015
   0.61815 -0.48169
   0.63082 -0.45431
   0.64383 -0.43915
   0.65721 -0.38642
   0.67089 -0.29243
   0.68482 -0.25600
   0.69894 -0.21812
   0.71325 -0.17845
   0.72779 -0.13768
   0.74255 -0.09627
   0.75757 -0.05506
   0.77282 -0.01436
   0.78822  0.02619
   0.80362  0.06604
   0.81882  0.10479
   0.83370  0.14127
   0.84824  0.17499
   0.86252  0.20569
   0.87658  0.23499
   0.89030  0.26379
   0.90351  0.29366
   0.91600  0.32348
   0.92773  0.34908
   0.93873  0.36911
   0.94911  0.38365
   0.95896  0.39242
   0.96837  0.39687
   0.97740  0.39884
   0.98610  0.39894
   0.99453  0.39973
   1.00000  0.42584
