#    x        Cp  
   1.00000  0.24607
   0.99361  0.16408
   0.98319  0.09706
   0.97205  0.04256
   0.96053 -0.00648
   0.94889 -0.04413
   0.93716 -0.06942
   0.92532 -0.08956
   0.91338 -0.11003
   0.90137 -0.12783
   0.88932 -0.14547
   0.87723 -0.16331
   0.86514 -0.18190
   0.85305 -0.19893
   0.84095 -0.21723
   0.82886 -0.23499
   0.81679 -0.25307
   0.80472 -0.27089
   0.79266 -0.28683
   0.78059 -0.30455
   0.76853 -0.32200
   0.75649 -0.33993
   0.74447 -0.35695
   0.73246 -0.37480
   0.72045 -0.39052
   0.70844 -0.40659
   0.69643 -0.42214
   0.68443 -0.43851
   0.67242 -0.45287
   0.66042 -0.46813
   0.64841 -0.48345
   0.63640 -0.49742
   0.62440 -0.51294
   0.61241 -0.52797
   0.60042 -0.54286
   0.58843 -0.55604
   0.57643 -0.56870
   0.56443 -0.58297
   0.55243 -0.59724
   0.54044 -0.60917
   0.52843 -0.62223
   0.51642 -0.63535
   0.50441 -0.64851
   0.49240 -0.66107
   0.48040 -0.67493
   0.46840 -0.68844
   0.45641 -0.70215
   0.44442 -0.71528
   0.43244 -0.72821
   0.42045 -0.73980
   0.40846 -0.75421
   0.39649 -0.76924
   0.38453 -0.78265
   0.37257 -0.79615
   0.36062 -0.80949
   0.34867 -0.82385
   0.33673 -0.83951
   0.32481 -0.85403
   0.31290 -0.86975
   0.30100 -0.88615
   0.28913 -0.90384
   0.27728 -0.92242
   0.26547 -0.94093
   0.25368 -0.95905
   0.24191 -0.97908
   0.23018 -0.99966
   0.21849 -1.02270
   0.20685 -1.04640
   0.19527 -1.07184
   0.18375 -1.09753
   0.17230 -1.12548
   0.16093 -1.15643
   0.14967 -1.18946
   0.13852 -1.22359
   0.12750 -1.26101
   0.11663 -1.29985
   0.10595 -1.34372
   0.09550 -1.38898
   0.08534 -1.44290
   0.07556 -1.50180
   0.06623 -1.56321
   0.05745 -1.62078
   0.04931 -1.67565
   0.04191 -1.72698
   0.03532 -1.77646
   0.02957 -1.82047
   0.02464 -1.86988
   0.02044 -1.91621
   0.01688 -1.96517
   0.01386 -2.00942
   0.01129 -2.05111
   0.00910 -2.08208
   0.00723 -2.10210
   0.00562 -2.10574
   0.00425 -2.09074
   0.00310 -2.05590
   0.00214 -2.02288
   0.00137 -1.92685
   0.00078 -1.75860
   0.00035 -1.51635
   0.00009 -1.23489
   0.00000 -0.91301
   0.00008 -0.54631
   0.00037 -0.12727
   0.00085  0.27270
   0.00154  0.58117
   0.00244  0.79735
   0.00356  0.92862
   0.00491  0.98943
   0.00648  0.99872
   0.00827  0.97733
   0.01030  0.93889
   0.01262  0.89152
   0.01527  0.83922
   0.01833  0.78663
   0.02189  0.73320
   0.02606  0.68145
   0.03099  0.63122
   0.03683  0.58395
   0.04373  0.54030
   0.05175  0.50124
   0.06084  0.46738
   0.07084  0.43857
   0.08153  0.41409
   0.09269  0.39334
   0.10417  0.37651
   0.11588  0.36231
   0.12775  0.34987
   0.13972  0.33861
   0.15178  0.32924
   0.16389  0.32098
   0.17605  0.31295
   0.18824  0.30602
   0.20046  0.30052
   0.21271  0.29461
   0.22498  0.28947
   0.23725  0.28488
   0.24955  0.28128
   0.26186  0.27736
   0.27417  0.27395
   0.28651  0.27111
   0.29885  0.26849
   0.31121  0.26642
   0.32359  0.26430
   0.33597  0.26198
   0.34835  0.26021
   0.36074  0.25764
   0.37312  0.25635
   0.38551  0.25508
   0.39791  0.25357
   0.41030  0.25259
   0.42269  0.25165
   0.43507  0.25148
   0.44745  0.25085
   0.45983  0.24997
   0.47221  0.24897
   0.48459  0.24926
   0.49695  0.24877
   0.50931  0.24836
   0.52167  0.24821
   0.53402  0.24844
   0.54635  0.24818
   0.55868  0.24816
   0.57100  0.24812
   0.58333  0.24758
   0.59565  0.24812
   0.60796  0.24735
   0.62027  0.24734
   0.63259  0.24703
   0.64489  0.24726
   0.65720  0.24701
   0.66950  0.24716
   0.68179  0.24722
   0.69407  0.24736
   0.70636  0.24645
   0.71864  0.24756
   0.73091  0.24758
   0.74316  0.24759
   0.75541  0.24761
   0.76766  0.24769
   0.77990  0.24722
   0.79213  0.24740
   0.80436  0.24766
   0.81658  0.24732
   0.82878  0.24840
   0.84096  0.24748
   0.85313  0.24811
   0.86528  0.24792
   0.87740  0.24862
   0.88950  0.24782
   0.90157  0.24859
   0.91360  0.24714
   0.92559  0.24808
   0.93750  0.24733
   0.94930  0.24752
   0.96092  0.24889
   0.97226  0.24930
   0.98321  0.24742
   0.99357  0.25409
   1.00000  0.24607
