#    x        Cp  
   1.00000  0.19023
   0.99361  0.15002
   0.98319  0.10466
   0.97205  0.06294
   0.96053  0.02401
   0.94889 -0.00644
   0.93716 -0.02821
   0.92532 -0.04492
   0.91338 -0.06065
   0.90137 -0.07423
   0.88932 -0.08729
   0.87723 -0.10055
   0.86514 -0.11366
   0.85305 -0.12629
   0.84095 -0.13892
   0.82886 -0.15161
   0.81679 -0.16420
   0.80472 -0.17639
   0.79266 -0.18721
   0.78059 -0.19895
   0.76853 -0.21016
   0.75649 -0.22170
   0.74447 -0.23237
   0.73246 -0.24254
   0.72045 -0.25122
   0.70844 -0.25884
   0.69643 -0.26611
   0.68443 -0.27359
   0.67242 -0.28604
   0.66042 -0.31479
   0.64841 -0.34277
   0.63640 -0.34391
   0.62440 -0.34844
   0.61241 -0.35417
   0.60042 -0.36016
   0.58843 -0.36612
   0.57643 -0.37203
   0.56443 -0.37839
   0.55243 -0.38466
   0.54044 -0.39009
   0.52843 -0.39580
   0.51642 -0.40135
   0.50441 -0.40686
   0.49240 -0.41208
   0.48040 -0.41750
   0.46840 -0.42276
   0.45641 -0.42776
   0.44442 -0.43241
   0.43244 -0.43654
   0.42045 -0.44026
   0.40846 -0.44466
   0.39649 -0.44923
   0.38453 -0.45287
   0.37257 -0.45623
   0.36062 -0.45918
   0.34867 -0.46251
   0.33673 -0.46576
   0.32481 -0.46880
   0.31290 -0.47160
   0.30100 -0.47464
   0.28913 -0.47777
   0.27728 -0.48111
   0.26547 -0.48365
   0.25368 -0.48539
   0.24191 -0.48780
   0.23018 -0.48959
   0.21849 -0.49194
   0.20685 -0.49383
   0.19527 -0.49533
   0.18375 -0.49635
   0.17230 -0.49659
   0.16093 -0.49726
   0.14967 -0.49720
   0.13852 -0.49521
   0.12750 -0.49292
   0.11663 -0.48807
   0.10595 -0.48241
   0.09550 -0.47386
   0.08534 -0.46477
   0.07556 -0.45175
   0.06623 -0.43383
   0.05745 -0.40563
   0.04931 -0.36864
   0.04191 -0.32208
   0.03532 -0.26761
   0.02957 -0.20522
   0.02464 -0.13974
   0.02044 -0.06962
   0.01688  0.00346
   0.01386  0.08131
   0.01129  0.16400
   0.00910  0.25246
   0.00723  0.34578
   0.00562  0.44567
   0.00425  0.54824
   0.00310  0.65254
   0.00214  0.75337
   0.00137  0.84895
   0.00078  0.93035
   0.00035  0.98536
   0.00009  0.99868
   0.00000  0.95756
   0.00008  0.84941
   0.00037  0.67919
   0.00085  0.47639
   0.00154  0.25662
   0.00244  0.03137
   0.00356 -0.15921
   0.00491 -0.28853
   0.00648 -0.35739
   0.00827 -0.39816
   0.01030 -0.42954
   0.01262 -0.44088
   0.01527 -0.44244
   0.01833 -0.43204
   0.02189 -0.41827
   0.02606 -0.40040
   0.03099 -0.37808
   0.03683 -0.35240
   0.04373 -0.32462
   0.05175 -0.29458
   0.06084 -0.26488
   0.07084 -0.23637
   0.08153 -0.21098
   0.09269 -0.18842
   0.10417 -0.16782
   0.11588 -0.14946
   0.12775 -0.13343
   0.13972 -0.11955
   0.15178 -0.10702
   0.16389 -0.09566
   0.17605 -0.08612
   0.18824 -0.07803
   0.20046 -0.07164
   0.21271 -0.06556
   0.22498 -0.03900
   0.23725 -0.02844
   0.24955 -0.02346
   0.26186 -0.01974
   0.27417 -0.01540
   0.28651 -0.01038
   0.29885 -0.00535
   0.31121  0.00013
   0.32359  0.00538
   0.33597  0.01012
   0.34835  0.01484
   0.36074  0.01902
   0.37312  0.02377
   0.38551  0.02857
   0.39791  0.03289
   0.41030  0.03752
   0.42269  0.04211
   0.43507  0.04711
   0.44745  0.05160
   0.45983  0.05557
   0.47221  0.05955
   0.48459  0.06412
   0.49695  0.06823
   0.50931  0.07219
   0.52167  0.07627
   0.53402  0.08053
   0.54635  0.08434
   0.55868  0.08818
   0.57100  0.09187
   0.58333  0.09514
   0.59565  0.09891
   0.60796  0.10218
   0.62027  0.10524
   0.63259  0.10842
   0.64489  0.11182
   0.65720  0.11494
   0.66950  0.11821
   0.68179  0.12141
   0.69407  0.12454
   0.70636  0.12715
   0.71864  0.13057
   0.73091  0.13377
   0.74316  0.13671
   0.75541  0.13942
   0.76766  0.14250
   0.77990  0.14491
   0.79213  0.14780
   0.80436  0.15064
   0.81658  0.15338
   0.82878  0.15651
   0.84096  0.15895
   0.85313  0.16192
   0.86528  0.16458
   0.87740  0.16737
   0.88950  0.16985
   0.90157  0.17235
   0.91360  0.17428
   0.92559  0.17700
   0.93750  0.17908
   0.94930  0.18125
   0.96092  0.18388
   0.97226  0.18568
   0.98321  0.18472
   0.99357  0.18444
   1.00000  0.19023
