#    x        Cp  
   1.00000 -0.00058
   0.99361 -0.00110
   0.98319 -0.00231
   0.97205 -0.00290
   0.96053 -0.00255
   0.94889 -0.00253
   0.93716 -0.00726
   0.92532 -0.01411
   0.91338 -0.02257
   0.90137 -0.03256
   0.88932 -0.04406
   0.87723 -0.05704
   0.86514 -0.07149
   0.85305 -0.08725
   0.84095 -0.10437
   0.82886 -0.12269
   0.81679 -0.14215
   0.80472 -0.16264
   0.79266 -0.18394
   0.78059 -0.20621
   0.76853 -0.22924
   0.75649 -0.25293
   0.74447 -0.27703
   0.73246 -0.30173
   0.72045 -0.32640
   0.70844 -0.35137
   0.69643 -0.37640
   0.68443 -0.40174
   0.67242 -0.42672
   0.66042 -0.45204
   0.64841 -0.47737
   0.63640 -0.50250
   0.62440 -0.52798
   0.61241 -0.55331
   0.60042 -0.57880
   0.58843 -0.60369
   0.57643 -0.62841
   0.56443 -0.65355
   0.55243 -0.67879
   0.54044 -0.70351
   0.52843 -0.72849
   0.51642 -0.75380
   0.50441 -0.77934
   0.49240 -0.80463
   0.48040 -0.83114
   0.46840 -0.85732
   0.45641 -0.88411
   0.44442 -0.91121
   0.43244 -0.93820
   0.42045 -0.96529
   0.40846 -0.99390
   0.39649 -1.02350
   0.38453 -1.05287
   0.37257 -1.08310
   0.36062 -1.11357
   0.34867 -1.14587
   0.33673 -1.17920
   0.32481 -1.21337
   0.31290 -1.24946
   0.30100 -1.28630
   0.28913 -1.32616
   0.27728 -1.36799
   0.26547 -1.41060
   0.25368 -1.45543
   0.24191 -1.50337
   0.23018 -1.55403
   0.21849 -1.60788
   0.20685 -1.66617
   0.19527 -1.72862
   0.18375 -1.79517
   0.17230 -1.86672
   0.16093 -1.94536
   0.14967 -2.03172
   0.13852 -2.12426
   0.12750 -2.22705
   0.11663 -2.33921
   0.10595 -2.46597
   0.09550 -2.60565
   0.08534 -2.76736
   0.07556 -2.95060
   0.06623 -3.15173
   0.05745 -3.37048
   0.04931 -3.60479
   0.04191 -3.85716
   0.03532 -4.12683
   0.02957 -4.41234
   0.02464 -4.72073
   0.02044 -5.05272
   0.01688 -5.40514
   0.01386 -5.77304
   0.01129 -6.14831
   0.00910 -6.58286
   0.00723 -7.23733
   0.00562 -8.03698
   0.00425 -8.31812
   0.00310 -8.64284
   0.00214 -9.02896
   0.00137 -9.39776
   0.00078 -9.65421
   0.00035 -9.74320
   0.00009 -9.68650
   0.00000 -9.43994
   0.00008 -8.85878
   0.00037 -7.72344
   0.00085 -6.30087
   0.00154 -4.84942
   0.00244 -3.60138
   0.00356 -2.43912
   0.00491 -1.46407
   0.00648 -0.70341
   0.00827 -0.16166
   0.01030  0.21893
   0.01262  0.49406
   0.01527  0.69121
   0.01833  0.82491
   0.02189  0.91432
   0.02606  0.96815
   0.03099  0.99441
   0.03683  0.99955
   0.04373  0.98818
   0.05175  0.96556
   0.06084  0.93559
   0.07084  0.90264
   0.08153  0.86933
   0.09269  0.83742
   0.10417  0.80736
   0.11588  0.77984
   0.12775  0.75446
   0.13972  0.73070
   0.15178  0.70903
   0.16389  0.68896
   0.17605  0.67033
   0.18824  0.65288
   0.20046  0.63689
   0.21271  0.62148
   0.22498  0.60718
   0.23725  0.59402
   0.24955  0.58140
   0.26186  0.56937
   0.27417  0.55796
   0.28651  0.54740
   0.29885  0.53737
   0.31121  0.52775
   0.32359  0.51874
   0.33597  0.50975
   0.34835  0.50126
   0.36074  0.49273
   0.37312  0.48491
   0.38551  0.47757
   0.39791  0.47012
   0.41030  0.46329
   0.42269  0.45650
   0.43507  0.45030
   0.44745  0.44417
   0.45983  0.43807
   0.47221  0.43189
   0.48459  0.42649
   0.49695  0.42093
   0.50931  0.41546
   0.52167  0.41014
   0.53402  0.40513
   0.54635  0.40010
   0.55868  0.39499
   0.57100  0.39012
   0.58333  0.38500
   0.59565  0.38038
   0.60796  0.37500
   0.62027  0.37032
   0.63259  0.36529
   0.64489  0.36059
   0.65720  0.35557
   0.66950  0.35083
   0.68179  0.34594
   0.69407  0.34108
   0.70636  0.33565
   0.71864  0.33123
   0.73091  0.32613
   0.74316  0.32094
   0.75541  0.31576
   0.76766  0.31019
   0.77990  0.30441
   0.79213  0.29872
   0.80436  0.29287
   0.81658  0.28644
   0.82878  0.28057
   0.84096  0.27314
   0.85313  0.26617
   0.86528  0.25830
   0.87740  0.25051
   0.88950  0.24078
   0.90157  0.23148
   0.91360  0.21939
   0.92559  0.20717
   0.93750  0.19195
   0.94930  0.17452
   0.96092  0.15325
   0.97226  0.12410
   0.98321  0.08197
   0.99357  0.00299
   1.00000 -0.00058
