#    x        Cp  
   1.00000  0.23649
   0.99361  0.16008
   0.98319  0.09663
   0.97205  0.04589
   0.96053 -0.00007
   0.94889 -0.03427
   0.93716 -0.05680
   0.92532 -0.07402
   0.91338 -0.09169
   0.90137 -0.10676
   0.88932 -0.12168
   0.87723 -0.13704
   0.86514 -0.15274
   0.85305 -0.16743
   0.84095 -0.18279
   0.82886 -0.19801
   0.81679 -0.21340
   0.80472 -0.22848
   0.79266 -0.24176
   0.78059 -0.25669
   0.76853 -0.27118
   0.75649 -0.28630
   0.74447 -0.30057
   0.73246 -0.31521
   0.72045 -0.32819
   0.70844 -0.34107
   0.69643 -0.35384
   0.68443 -0.36678
   0.67242 -0.37840
   0.66042 -0.39033
   0.64841 -0.40235
   0.63640 -0.41321
   0.62440 -0.42526
   0.61241 -0.43702
   0.60042 -0.44811
   0.58843 -0.45792
   0.57643 -0.46713
   0.56443 -0.47772
   0.55243 -0.48826
   0.54044 -0.49635
   0.52843 -0.50565
   0.51642 -0.51471
   0.50441 -0.52381
   0.49240 -0.53234
   0.48040 -0.54167
   0.46840 -0.55086
   0.45641 -0.55992
   0.44442 -0.56847
   0.43244 -0.57647
   0.42045 -0.58337
   0.40846 -0.59249
   0.39649 -0.60205
   0.38453 -0.61004
   0.37257 -0.61782
   0.36062 -0.62531
   0.34867 -0.63347
   0.33673 -0.64254
   0.32481 -0.65039
   0.31290 -0.65897
   0.30100 -0.66788
   0.28913 -0.67759
   0.27728 -0.68777
   0.26547 -0.69738
   0.25368 -0.70624
   0.24191 -0.71635
   0.23018 -0.72632
   0.21849 -0.73780
   0.20685 -0.74924
   0.19527 -0.76129
   0.18375 -0.77282
   0.17230 -0.78514
   0.16093 -0.79893
   0.14967 -0.81313
   0.13852 -0.82674
   0.12750 -0.84128
   0.11663 -0.85497
   0.10595 -0.87027
   0.09550 -0.88389
   0.08534 -0.90101
   0.07556 -0.91801
   0.06623 -0.93236
   0.05745 -0.93883
   0.04931 -0.93783
   0.04191 -0.92883
   0.03532 -0.91334
   0.02957 -0.88936
   0.02464 -0.86484
   0.02044 -0.83427
   0.01688 -0.80130
   0.01386 -0.76130
   0.01129 -0.71501
   0.00910 -0.65787
   0.00723 -0.58919
   0.00562 -0.50626
   0.00425 -0.40853
   0.00310 -0.29612
   0.00214 -0.17775
   0.00137 -0.02982
   0.00078  0.14516
   0.00035  0.33698
   0.00009  0.52716
   0.00000  0.70351
   0.00008  0.85409
   0.00037  0.95929
   0.00085  0.99961
   0.00154  0.97714
   0.00244  0.90457
   0.00356  0.80249
   0.00491  0.69426
   0.00648  0.59872
   0.00827  0.51420
   0.01030  0.43827
   0.01262  0.37485
   0.01527  0.32002
   0.01833  0.27607
   0.02189  0.23656
   0.02606  0.20431
   0.03099  0.17662
   0.03683  0.15488
   0.04373  0.13817
   0.05175  0.12634
   0.06084  0.11878
   0.07084  0.11426
   0.08153  0.11135
   0.09269  0.10957
   0.10417  0.10962
   0.11588  0.11041
   0.12775  0.11099
   0.13972  0.11125
   0.15178  0.11228
   0.16389  0.11350
   0.17605  0.11382
   0.18824  0.11462
   0.20046  0.11641
   0.21271  0.11703
   0.22498  0.11799
   0.23725  0.11905
   0.24955  0.12094
   0.26186  0.12202
   0.27417  0.12335
   0.28651  0.12511
   0.29885  0.12669
   0.31121  0.12880
   0.32359  0.13059
   0.33597  0.13191
   0.34835  0.13361
   0.36074  0.13443
   0.37312  0.13632
   0.38551  0.13819
   0.39791  0.13970
   0.41030  0.14157
   0.42269  0.14355
   0.43507  0.14611
   0.44745  0.14819
   0.45983  0.14972
   0.47221  0.15126
   0.48459  0.15392
   0.49695  0.15579
   0.50931  0.15763
   0.52167  0.15974
   0.53402  0.16214
   0.54635  0.16398
   0.55868  0.16606
   0.57100  0.16799
   0.58333  0.16935
   0.59565  0.17176
   0.60796  0.17308
   0.62027  0.17466
   0.63259  0.17621
   0.64489  0.17819
   0.65720  0.17973
   0.66950  0.18160
   0.68179  0.18340
   0.69407  0.18521
   0.70636  0.18602
   0.71864  0.18858
   0.73091  0.19040
   0.74316  0.19205
   0.75541  0.19349
   0.76766  0.19540
   0.77990  0.19638
   0.79213  0.19819
   0.80436  0.19997
   0.81658  0.20136
   0.82878  0.20389
   0.84096  0.20475
   0.85313  0.20698
   0.86528  0.20852
   0.87740  0.21071
   0.88950  0.21193
   0.90157  0.21408
   0.91360  0.21465
   0.92559  0.21735
   0.93750  0.21870
   0.94930  0.22085
   0.96092  0.22453
   0.97226  0.22783
   0.98321  0.22820
   0.99357  0.23872
   1.00000  0.23649
