#    x        Cp  
   1.00000  0.24650
   0.99361  0.16716
   0.98319  0.10106
   0.97205  0.04806
   0.96053 -0.00008
   0.94889 -0.03596
   0.93716 -0.05962
   0.92532 -0.07774
   0.91338 -0.09633
   0.90137 -0.11220
   0.88932 -0.12793
   0.87723 -0.14413
   0.86514 -0.16071
   0.85305 -0.17623
   0.84095 -0.19246
   0.82886 -0.20857
   0.81679 -0.22486
   0.80472 -0.24084
   0.79266 -0.25492
   0.78059 -0.27076
   0.76853 -0.28615
   0.75649 -0.30221
   0.74447 -0.31739
   0.73246 -0.33296
   0.72045 -0.34678
   0.70844 -0.36050
   0.69643 -0.37412
   0.68443 -0.38793
   0.67242 -0.40033
   0.66042 -0.41307
   0.64841 -0.42591
   0.63640 -0.43752
   0.62440 -0.45041
   0.61241 -0.46301
   0.60042 -0.47488
   0.58843 -0.48540
   0.57643 -0.49527
   0.56443 -0.50663
   0.55243 -0.51794
   0.54044 -0.52663
   0.52843 -0.53661
   0.51642 -0.54635
   0.50441 -0.55613
   0.49240 -0.56531
   0.48040 -0.57535
   0.46840 -0.58525
   0.45641 -0.59500
   0.44442 -0.60421
   0.43244 -0.61283
   0.42045 -0.62028
   0.40846 -0.63012
   0.39649 -0.64043
   0.38453 -0.64906
   0.37257 -0.65746
   0.36062 -0.66555
   0.34867 -0.67437
   0.33673 -0.68418
   0.32481 -0.69267
   0.31290 -0.70195
   0.30100 -0.71160
   0.28913 -0.72212
   0.27728 -0.73316
   0.26547 -0.74357
   0.25368 -0.75318
   0.24191 -0.76416
   0.23018 -0.77498
   0.21849 -0.78745
   0.20685 -0.79988
   0.19527 -0.81299
   0.18375 -0.82554
   0.17230 -0.83895
   0.16093 -0.85397
   0.14967 -0.86946
   0.13852 -0.88431
   0.12750 -0.90019
   0.11663 -0.91514
   0.10595 -0.93187
   0.09550 -0.94677
   0.08534 -0.96552
   0.07556 -0.98415
   0.06623 -0.99989
   0.05745 -1.00699
   0.04931 -1.00589
   0.04191 -0.99602
   0.03532 -0.97903
   0.02957 -0.95276
   0.02464 -0.92593
   0.02044 -0.89252
   0.01688 -0.85656
   0.01386 -0.81300
   0.01129 -0.76270
   0.00910 -0.70076
   0.00723 -0.62655
   0.00562 -0.53727
   0.00425 -0.43253
   0.00310 -0.31265
   0.00214 -0.18714
   0.00137 -0.03128
   0.00078  0.15163
   0.00035  0.35040
   0.00009  0.54567
   0.00000  0.72517
   0.00008  0.87724
   0.00037  0.98284
   0.00085  1.02319
   0.00154  1.00072
   0.00244  0.92798
   0.00356  0.82525
   0.00491  0.71579
   0.00648  0.61869
   0.00827  0.53242
   0.01030  0.45462
   0.01262  0.38942
   0.01527  0.33289
   0.01833  0.28748
   0.02189  0.24657
   0.02606  0.21312
   0.03099  0.18436
   0.03683  0.16175
   0.04373  0.14436
   0.05175  0.13203
   0.06084  0.12416
   0.07084  0.11944
   0.08153  0.11642
   0.09269  0.11456
   0.10417  0.11461
   0.11588  0.11543
   0.12775  0.11604
   0.13972  0.11631
   0.15178  0.11739
   0.16389  0.11866
   0.17605  0.11899
   0.18824  0.11983
   0.20046  0.12169
   0.21271  0.12233
   0.22498  0.12334
   0.23725  0.12444
   0.24955  0.12641
   0.26186  0.12753
   0.27417  0.12892
   0.28651  0.13075
   0.29885  0.13241
   0.31121  0.13460
   0.32359  0.13646
   0.33597  0.13784
   0.34835  0.13961
   0.36074  0.14047
   0.37312  0.14243
   0.38551  0.14438
   0.39791  0.14596
   0.41030  0.14790
   0.42269  0.14996
   0.43507  0.15263
   0.44745  0.15479
   0.45983  0.15638
   0.47221  0.15799
   0.48459  0.16075
   0.49695  0.16270
   0.50931  0.16461
   0.52167  0.16681
   0.53402  0.16931
   0.54635  0.17122
   0.55868  0.17338
   0.57100  0.17539
   0.58333  0.17681
   0.59565  0.17931
   0.60796  0.18068
   0.62027  0.18233
   0.63259  0.18394
   0.64489  0.18600
   0.65720  0.18759
   0.66950  0.18953
   0.68179  0.19141
   0.69407  0.19329
   0.70636  0.19413
   0.71864  0.19679
   0.73091  0.19868
   0.74316  0.20039
   0.75541  0.20189
   0.76766  0.20387
   0.77990  0.20489
   0.79213  0.20677
   0.80436  0.20862
   0.81658  0.21006
   0.82878  0.21269
   0.84096  0.21358
   0.85313  0.21590
   0.86528  0.21749
   0.87740  0.21976
   0.88950  0.22104
   0.90157  0.22327
   0.91360  0.22385
   0.92559  0.22666
   0.93750  0.22806
   0.94930  0.23028
   0.96092  0.23410
   0.97226  0.23752
   0.98321  0.23791
   0.99357  0.24881
   1.00000  0.24650
