#    x        Cp  
   1.00000  0.28171
   0.99361  0.19392
   0.98319  0.11941
   0.97205  0.05942
   0.96053  0.00433
   0.94889 -0.03653
   0.93716 -0.06340
   0.92532 -0.08368
   0.91338 -0.10465
   0.90137 -0.12244
   0.88932 -0.14011
   0.87723 -0.15853
   0.86514 -0.17725
   0.85305 -0.19500
   0.84095 -0.21338
   0.82886 -0.23184
   0.81679 -0.25051
   0.80472 -0.26884
   0.79266 -0.28490
   0.78059 -0.30312
   0.76853 -0.32075
   0.75649 -0.33932
   0.74447 -0.35689
   0.73246 -0.37478
   0.72045 -0.39073
   0.70844 -0.40640
   0.69643 -0.42215
   0.68443 -0.43789
   0.67242 -0.45221
   0.66042 -0.46672
   0.64841 -0.48139
   0.63640 -0.49462
   0.62440 -0.50934
   0.61241 -0.52381
   0.60042 -0.53713
   0.58843 -0.54896
   0.57643 -0.55994
   0.56443 -0.57273
   0.55243 -0.58546
   0.54044 -0.59480
   0.52843 -0.60585
   0.51642 -0.61646
   0.50441 -0.62715
   0.49240 -0.63708
   0.48040 -0.64792
   0.46840 -0.65868
   0.45641 -0.66912
   0.44442 -0.67889
   0.43244 -0.68775
   0.42045 -0.69521
   0.40846 -0.70552
   0.39649 -0.71637
   0.38453 -0.72506
   0.37257 -0.73332
   0.36062 -0.74114
   0.34867 -0.74974
   0.33673 -0.75949
   0.32481 -0.76746
   0.31290 -0.77628
   0.30100 -0.78543
   0.28913 -0.79549
   0.27728 -0.80608
   0.26547 -0.81562
   0.25368 -0.82395
   0.24191 -0.83379
   0.23018 -0.84312
   0.21849 -0.85422
   0.20685 -0.86496
   0.19527 -0.87611
   0.18375 -0.88618
   0.17230 -0.89674
   0.16093 -0.90877
   0.14967 -0.92069
   0.13852 -0.93104
   0.12750 -0.94171
   0.11663 -0.95017
   0.10595 -0.95952
   0.09550 -0.96510
   0.08534 -0.97362
   0.07556 -0.97986
   0.06623 -0.98011
   0.05745 -0.96731
   0.04931 -0.94196
   0.04191 -0.90371
   0.03532 -0.85507
   0.02957 -0.79428
   0.02464 -0.73180
   0.02044 -0.66142
   0.01688 -0.58781
   0.01386 -0.50609
   0.01129 -0.41738
   0.00910 -0.31770
   0.00723 -0.20707
   0.00562 -0.08419
   0.00425  0.04961
   0.00310  0.19224
   0.00214  0.33549
   0.00137  0.49319
   0.00078  0.65752
   0.00035  0.81451
   0.00009  0.94886
   0.00000  1.04827
   0.00008  1.10121
   0.00037  1.09433
   0.00085  1.02716
   0.00154  0.91106
   0.00244  0.75744
   0.00356  0.59310
   0.00491  0.44608
   0.00648  0.33436
   0.00827  0.24264
   0.01030  0.16338
   0.01262  0.10342
   0.01527  0.05555
   0.01833  0.02251
   0.02189 -0.00567
   0.02606 -0.02453
   0.03099 -0.03826
   0.03683 -0.04473
   0.04373 -0.04571
   0.05175 -0.04176
   0.06084 -0.03408
   0.07084 -0.02462
   0.08153 -0.01524
   0.09269 -0.00635
   0.10417  0.00334
   0.11588  0.01270
   0.12775  0.02059
   0.13972  0.02718
   0.15178  0.03403
   0.16389  0.04055
   0.17605  0.04535
   0.18824  0.05036
   0.20046  0.05631
   0.21271  0.06042
   0.22498  0.06471
   0.23725  0.06887
   0.24955  0.07394
   0.26186  0.07776
   0.27417  0.08174
   0.28651  0.08616
   0.29885  0.09017
   0.31121  0.09477
   0.32359  0.09885
   0.33597  0.10223
   0.34835  0.10598
   0.36074  0.10862
   0.37312  0.11243
   0.38551  0.11621
   0.39791  0.11949
   0.41030  0.12310
   0.42269  0.12688
   0.43507  0.13126
   0.44745  0.13504
   0.45983  0.13802
   0.47221  0.14108
   0.48459  0.14539
   0.49695  0.14875
   0.50931  0.15200
   0.52167  0.15558
   0.53402  0.15947
   0.54635  0.16265
   0.55868  0.16611
   0.57100  0.16933
   0.58333  0.17184
   0.59565  0.17558
   0.60796  0.17811
   0.62027  0.18073
   0.63259  0.18343
   0.64489  0.18660
   0.65720  0.18924
   0.66950  0.19224
   0.68179  0.19518
   0.69407  0.19809
   0.70636  0.19984
   0.71864  0.20354
   0.73091  0.20651
   0.74316  0.20920
   0.75541  0.21155
   0.76766  0.21463
   0.77990  0.21645
   0.79213  0.21932
   0.80436  0.22210
   0.81658  0.22452
   0.82878  0.22816
   0.84096  0.22996
   0.85313  0.23331
   0.86528  0.23588
   0.87740  0.23912
   0.88950  0.24146
   0.90157  0.24460
   0.91360  0.24615
   0.92559  0.25011
   0.93750  0.25262
   0.94930  0.25599
   0.96092  0.26132
   0.97226  0.26645
   0.98321  0.26786
   0.99357  0.28183
   1.00000  0.28171
