#x   cp
1.00000 0.293739
0.99361 0.198371
0.98319 0.119349
0.97205 0.056018
0.96053 -0.001299
0.94889 -0.044114
0.93716 -0.072377
0.92532 -0.094106
0.91338 -0.116367
0.90137 -0.135386
0.88932 -0.154232
0.87723 -0.173598
0.86514 -0.193421
0.85305 -0.211933
0.84095 -0.231348
0.82886 -0.250540
0.81679 -0.269956
0.80472 -0.288999
0.79266 -0.305804
0.78059 -0.324674
0.76853 -0.343013
0.75649 -0.362106
0.74447 -0.380160
0.73246 -0.398721
0.72045 -0.415154
0.70844 -0.431538
0.69643 -0.447723
0.68443 -0.464218
0.67242 -0.478968
0.66042 -0.494201
0.64841 -0.509520
0.63640 -0.523392
0.62440 -0.538773
0.61241 -0.553783
0.60042 -0.568025
0.58843 -0.580635
0.57643 -0.592501
0.56443 -0.606101
0.55243 -0.619650
0.54044 -0.630193
0.52843 -0.642209
0.51642 -0.653976
0.50441 -0.665794
0.49240 -0.676894
0.48040 -0.689057
0.46840 -0.701023
0.45641 -0.712865
0.44442 -0.724052
0.43244 -0.734619
0.42045 -0.743801
0.40846 -0.755804
0.39649 -0.768364
0.38453 -0.778981
0.37257 -0.789375
0.36062 -0.799435
0.34867 -0.810362
0.33673 -0.822476
0.32481 -0.833068
0.31290 -0.844638
0.30100 -0.856678
0.28913 -0.869745
0.27728 -0.883468
0.26547 -0.896536
0.25368 -0.908737
0.24191 -0.922559
0.23018 -0.936294
0.21849 -0.952021
0.20685 -0.967786
0.19527 -0.984467
0.18375 -1.000590
0.17230 -1.017877
0.16093 -1.037168
0.14967 -1.057190
0.13852 -1.076692
0.12750 -1.097641
0.11663 -1.117799
0.10595 -1.140394
0.09550 -1.161257
0.08534 -1.187107
0.07556 -1.213414
0.06623 -1.237049
0.05745 -1.251353
0.04931 -1.256922
0.04191 -1.253036
0.03532 -1.241565
0.02957 -1.219799
0.02464 -1.197934
0.02044 -1.168743
0.01688 -1.136991
0.01386 -1.096540
0.01129 -1.048466
0.00910 -0.986595
0.00723 -0.910073
0.00562 -0.815113
0.00425 -0.700751
0.00310 -0.566837
0.00214 -0.425413
0.00137 -0.242435
0.00078 -0.019638
0.00035 0.231521
0.00009 0.486591
0.00000 0.731612
0.00008 0.953049
0.00037 1.126807
0.00085 1.221383
0.00154 1.232817
0.00244 1.175784
0.00356 1.073412
0.00491 0.953618
0.00648 0.840988
0.00827 0.737935
0.01030 0.643458
0.01262 0.562296
0.01527 0.490649
0.01833 0.431550
0.02189 0.377760
0.02606 0.332606
0.03099 0.293033
0.03683 0.260724
0.04373 0.234714
0.05175 0.214952
0.06084 0.200870
0.07084 0.191021
0.08153 0.183744
0.09269 0.178349
0.10417 0.175627
0.11588 0.174167
0.12775 0.172781
0.13972 0.171259
0.15178 0.170888
0.16389 0.170900
0.17605 0.169984
0.18824 0.169774
0.20046 0.170851
0.21271 0.170603
0.22498 0.170851
0.23725 0.171296
0.24955 0.172793
0.26186 0.173375
0.27417 0.174303
0.28651 0.175776
0.29885 0.177112
0.31121 0.179079
0.32359 0.180713
0.33597 0.181789
0.34835 0.183386
0.36074 0.183893
0.37312 0.185749
0.38551 0.187605
0.39791 0.189028
0.41030 0.190909
0.42269 0.192926
0.43507 0.195698
0.44745 0.197863
0.45983 0.199398
0.47221 0.200945
0.48459 0.203877
0.49695 0.205857
0.50931 0.207800
0.52167 0.210077
0.53402 0.212725
0.54635 0.214692
0.55868 0.216957
0.57100 0.219060
0.58333 0.220471
0.59565 0.223193
0.60796 0.224505
0.62027 0.226238
0.63259 0.227883
0.64489 0.230086
0.65720 0.231732
0.66950 0.233786
0.68179 0.235766
0.69407 0.237770
0.70636 0.238525
0.71864 0.241483
0.73091 0.243475
0.74316 0.245281
0.75541 0.246853
0.76766 0.248957
0.77990 0.249959
0.79213 0.251976
0.80436 0.253956
0.81658 0.255428
0.82878 0.258349
0.84096 0.259165
0.85313 0.261690
0.86528 0.263348
0.87740 0.265835
0.88950 0.267072
0.90157 0.269535
0.91360 0.269943
0.92559 0.273049
0.93750 0.274410
0.94930 0.276786
0.96092 0.281018
0.97226 0.284693
0.98321 0.284842
0.99357 0.297315
1.00000 0.293739
