#    x        Cp  
   1.00000  0.24598
   0.99361  0.20175
   0.98319  0.15970
   0.97205  0.13003
   0.96053  0.10152
   0.94889  0.08549
   0.93716  0.07711
   0.92532  0.07417
   0.91338  0.07024
   0.90137  0.06837
   0.88932  0.06653
   0.87723  0.06309
   0.86514  0.06108
   0.85305  0.05760
   0.84095  0.05602
   0.82886  0.05276
   0.81679  0.04996
   0.80472  0.04757
   0.79266  0.04651
   0.78059  0.04436
   0.76853  0.04329
   0.75649  0.04099
   0.74447  0.03912
   0.73246  0.03874
   0.72045  0.03799
   0.70844  0.03900
   0.69643  0.03848
   0.68443  0.04025
   0.67242  0.04050
   0.66042  0.04273
   0.64841  0.04471
   0.63640  0.04694
   0.62440  0.04938
   0.61241  0.05125
   0.60042  0.05575
   0.58843  0.05962
   0.57643  0.06429
   0.56443  0.06854
   0.55243  0.07293
   0.54044  0.07978
   0.52843  0.08524
   0.51642  0.09190
   0.50441  0.09843
   0.49240  0.10525
   0.48040  0.11303
   0.46840  0.12010
   0.45641  0.12836
   0.44442  0.13670
   0.43244  0.14660
   0.42045  0.15646
   0.40846  0.16630
   0.39649  0.17625
   0.38453  0.18720
   0.37257  0.19918
   0.36062  0.21157
   0.34867  0.22439
   0.33673  0.23742
   0.32481  0.25154
   0.31290  0.26621
   0.30100  0.28137
   0.28913  0.29710
   0.27728  0.31332
   0.26547  0.33111
   0.25368  0.35008
   0.24191  0.36948
   0.23018  0.39036
   0.21849  0.41203
   0.20685  0.43492
   0.19527  0.45945
   0.18375  0.48542
   0.17230  0.51337
   0.16093  0.54265
   0.14967  0.57397
   0.13852  0.60762
   0.12750  0.64349
   0.11663  0.68183
   0.10595  0.72234
   0.09550  0.76520
   0.08534  0.80927
   0.07556  0.85423
   0.06623  0.89861
   0.05745  0.93979
   0.04931  0.97385
   0.04191  0.99546
   0.03532  0.99861
   0.02957  0.97709
   0.02464  0.92483
   0.02044  0.83572
   0.01688  0.70260
   0.01386  0.51801
   0.01129  0.27056
   0.00910 -0.04971
   0.00723 -0.46045
   0.00562 -0.97940
   0.00425 -1.62829
   0.00310 -2.43601
   0.00214 -3.48042
   0.00137 -4.71557
   0.00078 -6.14380
   0.00035 -7.71363
   0.00009 -9.52749
   0.00000 -11.48873
 0.00008 -13.45057
   0.00037 -14.74029
   0.00085 -15.10455
   0.00154 -15.07461
   0.00244 -14.77058
   0.00356 -13.99105
   0.00491 -12.73612
   0.00648 -11.26714
   0.00827 -9.99499
   0.01030 -8.94045
   0.01262 -7.96483
   0.01527 -7.09153
   0.01833 -6.29990
   0.02189 -5.60753
   0.02606 -4.97711
   0.03099 -4.41314
   0.03683 -3.89729
   0.04373 -3.43438
   0.05175 -3.02441
   0.06084 -2.66873
   0.07084 -2.36764
   0.08153 -2.11814
   0.09269 -1.91148
   0.10417 -1.73641
   0.11588 -1.58736
   0.12775 -1.46240
   0.13972 -1.35551
   0.15178 -1.26139
   0.16389 -1.17778
   0.17605 -1.10608
   0.18824 -1.04083
   0.20046 -0.97999
   0.21271 -0.92698
   0.22498 -0.87800
   0.23725 -0.83320
   0.24955 -0.78979
   0.26186 -0.75118
   0.27417 -0.71477
   0.28651 -0.67959
   0.29885 -0.64775
   0.31121 -0.61610
   0.32359 -0.58690
   0.33597 -0.56015
   0.34835 -0.53456
   0.36074 -0.51039
   0.37312 -0.48717
   0.38551 -0.46427
   0.39791 -0.44266
   0.41030 -0.42212
   0.42269 -0.40108
   0.43507 -0.38104
   0.44745 -0.36166
   0.45983 -0.34475
   0.47221 -0.32702
   0.48459 -0.30964
   0.49695 -0.29302
   0.50931 -0.27726
   0.52167 -0.26133
   0.53402 -0.24573
   0.54635 -0.23116
   0.55868 -0.21642
   0.57100 -0.20268
   0.58333 -0.18984
   0.59565 -0.17644
   0.60796 -0.16273
   0.62027 -0.15175
   0.63259 -0.13935
   0.64489 -0.12715
   0.65720 -0.11529
   0.66950 -0.10358
   0.68179 -0.09178
   0.69407 -0.08052
   0.70636 -0.06978
   0.71864 -0.05915
   0.73091 -0.04726
   0.74316 -0.03649
   0.75541 -0.02713
   0.76766 -0.01512
   0.77990 -0.00609
   0.79213  0.00462
   0.80436  0.01467
   0.81658  0.02551
   0.82878  0.03576
   0.84096  0.04625
   0.85313  0.05700
   0.86528  0.06767
   0.87740  0.07768
   0.88950  0.08961
   0.90157  0.09891
   0.91360  0.11010
   0.92559  0.12181
   0.93750  0.13400
   0.94930  0.14606
   0.96092  0.16134
   0.97226  0.17909
   0.98321  0.19079
   0.99357  0.21965
   1.00000  0.24598
  
