#    x        Cp  
   0.99865  0.18987
   0.99233  0.15075
   0.98203  0.10310
   0.97101  0.05645
   0.95962  0.01177
   0.94812 -0.02435
   0.93651 -0.05235
   0.92479 -0.07554
   0.91298 -0.09696
   0.90110 -0.11714
   0.88917 -0.13667
   0.87720 -0.15574
   0.86523 -0.17652
   0.85326 -0.19637
   0.84128 -0.21724
   0.82931 -0.23852
   0.81735 -0.26146
   0.80540 -0.28558
   0.79345 -0.31033
   0.78149 -0.34042
   0.76954 -0.37812
   0.75761 -0.44246
   0.75368 -0.51945
   0.74447 -0.42476
   0.73246 -0.41239
   0.72045 -0.40448
   0.70844 -0.40241
   0.69643 -0.40257
   0.68443 -0.40384
   0.67242 -0.40538
   0.66042 -0.41042
   0.64841 -0.42681
   0.63640 -0.45614
   0.62440 -0.46277
   0.61241 -0.46433
   0.60042 -0.46779
   0.58843 -0.47181
   0.57643 -0.47621
   0.56443 -0.48136
   0.55243 -0.48662
   0.54044 -0.49109
   0.52843 -0.49602
   0.51642 -0.50093
   0.50441 -0.50590
   0.49240 -0.51069
   0.48040 -0.51584
   0.46840 -0.52082
   0.45641 -0.52574
   0.44442 -0.53027
   0.43244 -0.53445
   0.42045 -0.53806
   0.40846 -0.54280
   0.39649 -0.54756
   0.38453 -0.55167
   0.37257 -0.55522
   0.36062 -0.55869
   0.34867 -0.56255
   0.33673 -0.56663
   0.32481 -0.57023
   0.31290 -0.57416
   0.30100 -0.57799
   0.28913 -0.58232
   0.27728 -0.58684
   0.26547 -0.59056
   0.25368 -0.59409
   0.24191 -0.59795
   0.23018 -0.60154
   0.21849 -0.60574
   0.20685 -0.61009
   0.19527 -0.61413
   0.18375 -0.61740
   0.17230 -0.62082
   0.16093 -0.62525
   0.14967 -0.62817
   0.13852 -0.63063
   0.12750 -0.63282
   0.11663 -0.63320
   0.10595 -0.63245
   0.09550 -0.63077
   0.08534 -0.62909
   0.07556 -0.62418
   0.06623 -0.61552
   0.05745 -0.59646
   0.04931 -0.56969
   0.04191 -0.53378
   0.03532 -0.48909
   0.02957 -0.43833
   0.02464 -0.38111
   0.02044 -0.32219
   0.01688 -0.26001
   0.01386 -0.18875
   0.01129 -0.11687
   0.00910 -0.02950
   0.00723  0.06037
   0.00562  0.15948
   0.00425  0.27176
   0.00310  0.38236
   0.00214  0.50097
   0.00137  0.62766
   0.00078  0.75433
   0.00035  0.86351
   0.00009  0.95134
   0.00000  0.99655
   0.00008  0.98724
   0.00037  0.91408
   0.00085  0.78906
   0.00154  0.63138
   0.00244  0.44855
   0.00356  0.28119
   0.00491  0.14193
   0.00648  0.05548
   0.00827 -0.01434
   0.01030 -0.06756
   0.01262 -0.10453
   0.01527 -0.13073
   0.01833 -0.14304
   0.02189 -0.15307
   0.02606 -0.15557
   0.03099 -0.15387
   0.03683 -0.14733
   0.04373 -0.13604
   0.05175 -0.12310
   0.06084 -0.10750
   0.07084 -0.09127
   0.08153 -0.07616
   0.09269 -0.06236
   0.10417 -0.04897
   0.11588 -0.03677
   0.12775 -0.02593
   0.13972 -0.01643
   0.15178 -0.00760
   0.16389  0.00073
   0.17605  0.00804
   0.18824  0.01447
   0.20046  0.02177
   0.21271  0.02767
   0.22498  0.03336
   0.23725  0.03890
   0.24955  0.04468
   0.26186  0.04968
   0.27417  0.05493
   0.28651  0.05990
   0.29885  0.06478
   0.31121  0.06967
   0.32359  0.07419
   0.33597  0.07827
   0.34835  0.08193
   0.36074  0.08472
   0.37312  0.08641
   0.38551  0.08988
   0.39791  0.10828
   0.41030  0.11862
   0.42269  0.12256
   0.43507  0.12546
   0.44745  0.12815
   0.45983  0.13084
   0.47221  0.13382
   0.48459  0.13795
   0.49695  0.14166
   0.50931  0.14540
   0.52167  0.14962
   0.53402  0.15410
   0.54635  0.15820
   0.55868  0.16259
   0.57100  0.16692
   0.58333  0.17092
   0.59565  0.17577
   0.60796  0.18013
   0.62027  0.18459
   0.63259  0.18938
   0.64489  0.19467
   0.65720  0.20003
   0.66950  0.20601
   0.68179  0.21248
   0.69407  0.21967
   0.70636  0.22753
   0.71864  0.23809
   0.73091  0.25122
   0.74316  0.27310
   0.74764  0.28591
   0.74988  0.30008
   0.75552  0.27622
   0.76681  0.25946
   0.77904  0.24856
   0.79127  0.24115
   0.80349  0.23639
   0.81569  0.23211
   0.82788  0.22930
   0.84005  0.22663
   0.85220  0.22465
   0.86434  0.22279
   0.87644  0.22133
   0.88851  0.21969
   0.90056  0.21812
   0.91257  0.21622
   0.92453  0.21476
   0.93641  0.21312
   0.94817  0.21071
   0.95975  0.20889
   0.97105  0.20582
   0.98194  0.19960
   0.99226  0.18951
   0.99865  0.18987
