#    x        Cp  
   1.00066  0.18745
   0.99423  0.14759
   0.98372  0.10787
   0.97247  0.07212
   0.96085  0.03928
   0.94912  0.01575
   0.93729  0.00007
   0.92535 -0.01121
   0.91332 -0.02068
   0.90123 -0.02876
   0.88908 -0.03577
   0.87691 -0.04289
   0.86473 -0.04995
   0.85255 -0.05593
   0.84037 -0.06101
   0.82820 -0.06613
   0.81604 -0.06917
   0.80389 -0.07154
   0.79175 -0.06931
   0.77961 -0.06572
   0.76747 -0.05382
   0.75751 -0.03254
   0.75253  0.01460
   0.74984 -0.02278
   0.74447 -0.05125
   0.73246 -0.08847
   0.72045 -0.11075
   0.70844 -0.12784
   0.69643 -0.14186
   0.68443 -0.15370
   0.67242 -0.16754
   0.66042 -0.19556
   0.64841 -0.23772
   0.63640 -0.23994
   0.62440 -0.24530
   0.61241 -0.25185
   0.60042 -0.25865
   0.58843 -0.26552
   0.57643 -0.27236
   0.56443 -0.27948
   0.55243 -0.28646
   0.54044 -0.29263
   0.52843 -0.29894
   0.51642 -0.30497
   0.50441 -0.31091
   0.49240 -0.31656
   0.48040 -0.32212
   0.46840 -0.32760
   0.45641 -0.33274
   0.44442 -0.33740
   0.43244 -0.34144
   0.42045 -0.34511
   0.40846 -0.34946
   0.39649 -0.35369
   0.38453 -0.35693
   0.37257 -0.35986
   0.36062 -0.36253
   0.34867 -0.36521
   0.33673 -0.36796
   0.32481 -0.36993
   0.31290 -0.37233
   0.30100 -0.37412
   0.28913 -0.37638
   0.27728 -0.37837
   0.26547 -0.37986
   0.25368 -0.38027
   0.24191 -0.38105
   0.23018 -0.38126
   0.21849 -0.38139
   0.20685 -0.38141
   0.19527 -0.38075
   0.18375 -0.37897
   0.17230 -0.37654
   0.16093 -0.37450
   0.14967 -0.37056
   0.13852 -0.36521
   0.12750 -0.35840
   0.11663 -0.34947
   0.10595 -0.33841
   0.09550 -0.32414
   0.08534 -0.30812
   0.07556 -0.28789
   0.06623 -0.26264
   0.05745 -0.22562
   0.04931 -0.18031
   0.04191 -0.12596
   0.03532 -0.06184
   0.02957  0.00786
   0.02464  0.08037
   0.02044  0.15765
   0.01688  0.23600
   0.01386  0.31915
   0.01129  0.40331
   0.00910  0.49140
   0.00723  0.58160
   0.00562  0.67315
   0.00425  0.76207
   0.00310  0.84453
   0.00214  0.91753
   0.00137  0.97256
   0.00078  0.99932
   0.00035  0.98414
   0.00009  0.91397
   0.00000  0.77467
   0.00008  0.55770
   0.00037  0.29735
   0.00085  0.01575
   0.00154 -0.24764
   0.00244 -0.50556
   0.00356 -0.69862
   0.00491 -0.81281
   0.00648 -0.84751
   0.00827 -0.84726
   0.01030 -0.84505
   0.01262 -0.82614
   0.01527 -0.79259
   0.01833 -0.75494
   0.02189 -0.71447
   0.02606 -0.66924
   0.03099 -0.62405
   0.03683 -0.57780
   0.04373 -0.52838
   0.05175 -0.48186
   0.06084 -0.43668
   0.07084 -0.39569
   0.08153 -0.36076
   0.09269 -0.33332
   0.10417 -0.29466
   0.11588 -0.24950
   0.12775 -0.23039
   0.13972 -0.21564
   0.15178 -0.20193
   0.16389 -0.18785
   0.17605 -0.17670
   0.18824 -0.16476
   0.20046 -0.15347
   0.21271 -0.14366
   0.22498 -0.13425
   0.23725 -0.12606
   0.24955 -0.11673
   0.26186 -0.10921
   0.27417 -0.10182
   0.28651 -0.09421
   0.29885 -0.08748
   0.31121 -0.08016
   0.32359 -0.07379
   0.33597 -0.06825
   0.34835 -0.06246
   0.36074 -0.05744
   0.37312 -0.05219
   0.38551 -0.04673
   0.39791 -0.04216
   0.41030 -0.03721
   0.42269 -0.03220
   0.43507 -0.02716
   0.44745 -0.02261
   0.45983 -0.01857
   0.47221 -0.01471
   0.48459 -0.01019
   0.49695 -0.00637
   0.50931 -0.00272
   0.52167  0.00096
   0.53402  0.00467
   0.54635  0.00788
   0.55868  0.01097
   0.57100  0.01382
   0.58333  0.01599
   0.59565  0.01857
   0.60796  0.02054
   0.62027  0.02189
   0.63259  0.02320
   0.64489  0.02439
   0.65720  0.02490
   0.66950  0.02506
   0.68179  0.02450
   0.69407  0.02287
   0.70636  0.01940
   0.71864  0.01455
   0.73091  0.00536
   0.74316 -0.01107
   0.75072 -0.05499
   0.75624 -0.01287
   0.76846  0.01638
   0.78067  0.03501
   0.79288  0.04921
   0.80509  0.06118
   0.81728  0.07166
   0.82946  0.08137
   0.84162  0.08973
   0.85377  0.09811
   0.86591  0.10565
   0.87802  0.11327
   0.89010  0.12029
   0.90216  0.12688
   0.91419  0.13339
   0.92618  0.13982
   0.93809  0.14633
   0.94989  0.15263
   0.96152  0.15934
   0.97287  0.16565
   0.98383  0.17047
   0.99422  0.17619
   1.00066  0.18745
