#    x        Cp  
   0.95688 -0.31105
   0.95192 -0.31227
   0.94388 -0.31391
   0.93530 -0.31554
   0.92644 -0.31711
   0.91746 -0.31862
   0.90837 -0.32005
   0.89916 -0.32140
   0.88986 -0.32268
   0.88048 -0.32386
   0.87105 -0.32495
   0.86159 -0.32591
   0.85211 -0.32676
   0.84263 -0.32745
   0.83312 -0.32800
   0.82361 -0.32837
   0.81410 -0.32854
   0.80458 -0.32846
   0.79505 -0.32806
   0.78550 -0.32716
   0.77594 -0.32532
   0.76638 -0.32055
   0.76128 -0.31190
   0.75595 -0.29833
   0.74447 -0.31051
   0.73246 -0.33164
   0.72045 -0.35820
   0.70844 -0.38870
   0.69643 -0.42183
   0.68443 -0.45699
   0.67242 -0.49308
   0.66042 -0.52986
   0.64841 -0.56682
   0.63640 -0.60347
   0.62440 -0.63998
   0.61241 -0.67559
   0.60042 -0.71111
   0.58843 -0.74505
   0.57643 -0.77843
   0.56443 -0.81120
   0.55243 -0.84357
   0.54044 -0.87498
   0.52843 -0.90595
   0.51642 -0.93685
   0.50441 -0.96713
   0.49240 -0.99759
   0.48040 -1.02827
   0.46840 -1.05827
   0.45641 -1.08895
   0.44442 -1.11929
   0.43244 -1.15028
   0.42045 -1.18020
   0.40846 -1.21268
   0.39649 -1.24448
   0.38453 -1.27662
   0.37257 -1.31038
   0.36062 -1.34351
   0.34867 -1.37813
   0.33673 -1.41435
   0.32481 -1.45138
   0.31290 -1.49031
   0.30100 -1.53124
   0.28913 -1.57349
   0.27728 -1.61825
   0.26547 -1.66609
   0.25368 -1.71366
   0.24191 -1.76616
   0.23018 -1.82006
   0.21849 -1.88034
   0.20685 -1.94274
   0.19527 -2.01245
   0.18375 -2.08480
   0.17230 -2.16202
   0.16093 -2.24785
   0.14967 -2.34406
   0.13852 -2.44544
   0.12750 -2.56079
   0.11663 -2.68645
   0.10595 -2.82569
   0.09550 -2.98240
   0.08534 -3.16574
   0.07556 -3.37051
   0.06623 -3.60317
   0.05745 -3.84343
   0.04931 -4.12513
   0.04191 -4.41498
   0.03532 -4.72239
   0.02957 -5.06205
   0.02464 -5.41482
   0.02044 -5.77827
   0.01688 -6.16032
   0.01386 -6.58246
   0.01129 -7.29578
   0.00910 -8.92202
   0.00723 -9.91776
   0.00562 -10.01415
   0.00425 -10.12226
   0.00310 -10.28441
   0.00214 -10.56499
   0.00137 -11.01518
   0.00078 -11.55785
   0.00035 -11.87729
   0.00009 -11.97843
   0.00000  -11.86279
   0.00008 -11.38889
   0.00037 -10.17196
   0.00085 -8.51088
   0.00154 -6.71839
   0.00244 -5.25891
   0.00356 -3.83447
   0.00491 -2.51638
   0.00648 -1.56795
   0.00827 -0.82971
   0.01030 -0.29337
   0.01262  0.09833
   0.01527  0.39777
   0.01833  0.60728
   0.02189  0.76216
   0.02606  0.86756
   0.03099  0.94120
   0.03683  0.97983
   0.04373  0.99795
   0.05175  0.99832
   0.06084  0.98673
   0.07084  0.96811
   0.08153  0.94492
   0.09269  0.92330
   0.10417  0.89925
   0.11588  0.87845
   0.12775  0.85800
   0.13972  0.83818
   0.15178  0.82202
   0.16389  0.80566
   0.17605  0.79116
   0.18824  0.77667
   0.20046  0.76455
   0.21271  0.75240
   0.22498  0.74261
   0.23725  0.73212
   0.24955  0.72319
   0.26186  0.71524
   0.27417  0.70731
   0.28651  0.70019
   0.29885  0.69412
   0.31121  0.68821
   0.32359  0.68281
   0.33597  0.67819
   0.34835  0.67416
   0.36074  0.67008
   0.37312  0.66691
   0.38551  0.66405
   0.39791  0.66184
   0.41030  0.65973
   0.42269  0.65868
   0.43507  0.65797
   0.44745  0.65790
   0.45983  0.65807
   0.47221  0.65891
   0.48459  0.66045
   0.49695  0.66288
   0.50931  0.66586
   0.52167  0.66962
   0.53402  0.67415
   0.54635  0.67874
   0.55868  0.68275
   0.57100  0.68571
   0.58333  0.68786
   0.59565  0.68919
   0.60796  0.68990
   0.62027  0.69021
   0.63259  0.69027
   0.64489  0.69020
   0.65720  0.69010
   0.66950  0.69002
   0.68179  0.71857
   0.69407  0.74238
   0.70636  0.75956
   0.71864  0.77242
   0.73091  0.78215
   0.74098  0.78848
   0.74601  0.79094
   0.74982  0.79414
   0.75744  0.80166
   0.76813  0.80652
   0.77881  0.79957
   0.78946  0.78218
   0.80009  0.75703
   0.81070  0.72795
   0.82127  0.69859
   0.83182  0.66840
   0.84232  0.63967
   0.85279  0.61082
   0.86322  0.58199
   0.87359  0.55218
   0.88392  0.52213
   0.89417  0.48969
   0.90434  0.45583
   0.91437  0.41895
   0.92421  0.38034
   0.93378  0.33640
   0.94295  0.28216
   0.95157  0.25047
   0.95688 -0.31105
