#    x        Cp  
   1.00000  0.08925
   0.99361  0.08219
   0.98319  0.07080
   0.97205  0.05683
   0.96053  0.04057
   0.94889  0.02297
   0.93716  0.00477
   0.92532 -0.01400
   0.91338 -0.03346
   0.90137 -0.05329
   0.88932 -0.07357
   0.87723 -0.09425
   0.86514 -0.11542
   0.85305 -0.13666
   0.84095 -0.15839
   0.82886 -0.18021
   0.81679 -0.20222
   0.80472 -0.22433
   0.79266 -0.24620
   0.78059 -0.26845
   0.76853 -0.29081
   0.75649 -0.31325
   0.74447 -0.33551
   0.73246 -0.35791
   0.72045 -0.37976
   0.70844 -0.40151
   0.69643 -0.42306
   0.68443 -0.44477
   0.67242 -0.46575
   0.66042 -0.48700
   0.64841 -0.50820
   0.63640 -0.52899
   0.62440 -0.55019
   0.61241 -0.57128
   0.60042 -0.59226
   0.58843 -0.61250
   0.57643 -0.63256
   0.56443 -0.65308
   0.55243 -0.67370
   0.54044 -0.69359
   0.52843 -0.71369
   0.51642 -0.73416
   0.50441 -0.75458
   0.49240 -0.77520
   0.48040 -0.79638
   0.46840 -0.81773
   0.45641 -0.83914
   0.44442 -0.86077
   0.43244 -0.88231
   0.42045 -0.90346
   0.40846 -0.92667
   0.39649 -0.95019
   0.38453 -0.97357
   0.37257 -0.99721
   0.36062 -1.02133
   0.34867 -1.04655
   0.33673 -1.07312
   0.32481 -1.09962
   0.31290 -1.12789
   0.30100 -1.15690
   0.28913 -1.18834
   0.27728 -1.22057
   0.26547 -1.25471
   0.25368 -1.28871
   0.24191 -1.32621
   0.23018 -1.36509
   0.21849 -1.40721
   0.20685 -1.45207
   0.19527 -1.49991
   0.18375 -1.55060
   0.17230 -1.60518
   0.16093 -1.66565
   0.14967 -1.73033
   0.13852 -1.80025
   0.12750 -1.87713
   0.11663 -1.95995
   0.10595 -2.05378
   0.09550 -2.15474
   0.08534 -2.27179
   0.07556 -2.40327
   0.06623 -2.54593
   0.05745 -2.69312
   0.04931 -2.84540
   0.04191 -3.00075
   0.03532 -3.15430
   0.02957 -3.30195
   0.02464 -3.49401
   0.02044 -4.03373
   0.01688 -4.56694
   0.01386 -4.66187
   0.01129 -4.76397
   0.00910 -4.89158
   0.00723 -5.05551
   0.00562 -5.25645
   0.00425 -5.48729
   0.00310 -5.73180
   0.00214 -5.97394
   0.00137 -6.14622
   0.00078 -6.20174
   0.00035 -6.10725
   0.00009 -5.90977
   0.00000 -5.57946
   0.00008 -5.02874
   0.00037 -4.16610
   0.00085 -3.14466
   0.00154 -2.18179
   0.00244 -1.34601
   0.00356 -0.65259
   0.00491 -0.08585
   0.00648  0.32401
   0.00827  0.59433
   0.01030  0.77302
   0.01262  0.88709
   0.01527  0.95473
   0.01833  0.98997
   0.02189  1.00000
   0.02606  0.99205
   0.03099  0.97043
   0.03683  0.93929
   0.04373  0.90119
   0.05175  0.86027
   0.06084  0.81839
   0.07084  0.77849
   0.08153  0.74234
   0.09269  0.70842
   0.10417  0.67932
   0.11588  0.65332
   0.12775  0.62924
   0.13972  0.60805
   0.15178  0.58879
   0.16389  0.57114
   0.17605  0.55481
   0.18824  0.54003
   0.20046  0.52666
   0.21271  0.51388
   0.22498  0.50175
   0.23725  0.49090
   0.24955  0.48079
   0.26186  0.47113
   0.27417  0.46208
   0.28651  0.45369
   0.29885  0.44587
   0.31121  0.43849
   0.32359  0.43152
   0.33597  0.42454
   0.34835  0.41812
   0.36074  0.41160
   0.37312  0.40576
   0.38551  0.40024
   0.39791  0.39474
   0.41030  0.38981
   0.42269  0.38486
   0.43507  0.38053
   0.44745  0.37620
   0.45983  0.37186
   0.47221  0.36749
   0.48459  0.36383
   0.49695  0.35998
   0.50931  0.35624
   0.52167  0.35263
   0.53402  0.34935
   0.54635  0.34589
   0.55868  0.34257
   0.57100  0.33926
   0.58333  0.33587
   0.59565  0.33288
   0.60796  0.32922
   0.62027  0.32612
   0.63259  0.32279
   0.64489  0.31974
   0.65720  0.31645
   0.66950  0.31339
   0.68179  0.31024
   0.69407  0.30709
   0.70636  0.30351
   0.71864  0.30085
   0.73091  0.29758
   0.74316  0.29426
   0.75541  0.29103
   0.76766  0.28741
   0.77990  0.28376
   0.79213  0.28011
   0.80436  0.27649
   0.81658  0.27233
   0.82878  0.26879
   0.84096  0.26405
   0.85313  0.25974
   0.86528  0.25480
   0.87740  0.24997
   0.88950  0.24386
   0.90157  0.23796
   0.91360  0.23029
   0.92559  0.22271
   0.93750  0.21307
   0.94930  0.20222
   0.96092  0.18916
   0.97226  0.17110
   0.98321  0.14454
   0.99357  0.09886
   1.00000  0.08925
