#    x        Cp  
   1.00000  0.13929
   0.99361  0.12011
   0.98319  0.09523
   0.97205  0.06826
   0.96053  0.04034
   0.94889  0.01441
   0.93716 -0.00825
   0.92532 -0.02840
   0.91338 -0.04736
   0.90137 -0.06487
   0.88932 -0.08166
   0.87723 -0.09809
   0.86514 -0.11424
   0.85305 -0.12989
   0.84095 -0.14548
   0.82886 -0.16089
   0.81679 -0.17614
   0.80472 -0.19111
   0.79266 -0.20539
   0.78059 -0.22002
   0.76853 -0.23445
   0.75649 -0.24899
   0.74447 -0.26311
   0.73246 -0.27708
   0.72045 -0.29031
   0.70844 -0.30318
   0.69643 -0.31590
   0.68443 -0.32837
   0.67242 -0.34023
   0.66042 -0.35202
   0.64841 -0.36363
   0.63640 -0.37473
   0.62440 -0.38612
   0.61241 -0.39723
   0.60042 -0.40780
   0.58843 -0.41757
   0.57643 -0.42695
   0.56443 -0.43677
   0.55243 -0.44636
   0.54044 -0.45474
   0.52843 -0.46355
   0.51642 -0.47217
   0.50441 -0.48069
   0.49240 -0.48848
   0.48040 -0.49685
   0.46840 -0.50525
   0.45641 -0.51354
   0.44442 -0.52135
   0.43244 -0.52828
   0.42045 -0.53485
   0.40846 -0.54220
   0.39649 -0.54949
   0.38453 -0.55681
   0.37257 -0.56488
   0.36062 -0.57499
   0.34867 -0.58844
   0.33673 -0.60543
   0.32481 -0.62300
   0.31290 -0.63829
   0.30100 -0.64888
   0.28913 -0.65337
   0.27728 -0.65924
   0.26547 -0.66591
   0.25368 -0.67305
   0.24191 -0.68114
   0.23018 -0.68960
   0.21849 -0.69879
   0.20685 -0.70838
   0.19527 -0.71821
   0.18375 -0.72852
   0.17230 -0.73896
   0.16093 -0.75035
   0.14967 -0.76169
   0.13852 -0.77309
   0.12750 -0.78455
   0.11663 -0.79617
   0.10595 -0.80794
   0.09550 -0.81888
   0.08534 -0.83153
   0.07556 -0.84201
   0.06623 -0.84934
   0.05745 -0.84926
   0.04931 -0.84218
   0.04191 -0.82661
   0.03532 -0.80431
   0.02957 -0.77596
   0.02464 -0.74223
   0.02044 -0.70582
   0.01688 -0.66372
   0.01386 -0.61608
   0.01129 -0.55922
   0.00910 -0.49626
   0.00723 -0.41959
   0.00562 -0.32923
   0.00425 -0.22533
   0.00310 -0.11262
   0.00214  0.00915
   0.00137  0.15863
   0.00078  0.32400
   0.00035  0.49582
   0.00009  0.66734
   0.00000  0.81365
   0.00008  0.92769
   0.00037  0.99242
   0.00085  0.99282
   0.00154  0.93613
   0.00244  0.83723
   0.00356  0.71659
   0.00491  0.59829
   0.00648  0.49986
   0.00827  0.41556
   0.01030  0.34142
   0.01262  0.28057
   0.01527  0.23016
   0.01833  0.18892
   0.02189  0.15431
   0.02606  0.12706
   0.03099  0.10408
   0.03683  0.08698
   0.04373  0.07433
   0.05175  0.06658
   0.06084  0.06236
   0.07084  0.06153
   0.08153  0.06183
   0.09269  0.06257
   0.10417  0.06476
   0.11588  0.06722
   0.12775  0.06938
   0.13972  0.07158
   0.15178  0.07380
   0.16389  0.07595
   0.17605  0.07765
   0.18824  0.07959
   0.20046  0.08164
   0.21271  0.08333
   0.22498  0.08504
   0.23725  0.08683
   0.24955  0.08877
   0.26186  0.09059
   0.27417  0.09241
   0.28651  0.09440
   0.29885  0.09638
   0.31121  0.09847
   0.32359  0.10046
   0.33597  0.10232
   0.34835  0.10407
   0.36074  0.10578
   0.37312  0.10761
   0.38551  0.10957
   0.39791  0.11127
   0.41030  0.11333
   0.42269  0.11527
   0.43507  0.11733
   0.44745  0.11943
   0.45983  0.12129
   0.47221  0.12317
   0.48459  0.12522
   0.49695  0.12718
   0.50931  0.12907
   0.52167  0.13102
   0.53402  0.13299
   0.54635  0.13484
   0.55868  0.13668
   0.57100  0.13843
   0.58333  0.14008
   0.59565  0.14181
   0.60796  0.14333
   0.62027  0.14483
   0.63259  0.14632
   0.64489  0.14780
   0.65720  0.14924
   0.66950  0.15067
   0.68179  0.15204
   0.69407  0.15337
   0.70636  0.15456
   0.71864  0.15591
   0.73091  0.15716
   0.74316  0.15831
   0.75541  0.15936
   0.76766  0.16040
   0.77990  0.16126
   0.79213  0.16215
   0.80436  0.16299
   0.81658  0.16371
   0.82878  0.16447
   0.84096  0.16493
   0.85313  0.16543
   0.86528  0.16571
   0.87740  0.16588
   0.88950  0.16573
   0.90157  0.16539
   0.91360  0.16457
   0.92559  0.16363
   0.93750  0.16206
   0.94930  0.15996
   0.96092  0.15723
   0.97226  0.15312
   0.98321  0.14666
   0.99357  0.13809
   1.00000  0.13929
