# s      curvatura
0.00000 -1.31800
0.00649 -1.31800
0.01709 -0.37900
0.02844 -0.08400
0.04018 0.51600
0.05202 0.57000
0.06394 0.42000
0.07597 0.26800
0.08809 0.23300
0.10027 0.19100
0.11249 0.12900
0.12474 0.12300
0.13700 0.18000
0.14925 0.13600
0.16150 0.16200
0.17374 0.16400
0.18596 0.20300
0.19817 0.23500
0.21037 0.17200
0.22257 0.20700
0.23476 0.21900
0.24692 0.26200
0.25906 0.26300
0.27119 0.30200
0.28330 0.29400
0.29541 0.29400
0.30752 0.28100
0.31961 0.34500
0.33170 0.29400
0.34378 0.32600
0.35586 0.32800
0.36794 0.29700
0.38001 0.34900
0.39206 0.35600
0.40410 0.38100
0.41614 0.35700
0.42818 0.32900
0.44022 0.35300
0.45225 0.41900
0.46428 0.33800
0.47632 0.36300
0.48835 0.36300
0.50038 0.37900
0.51241 0.35800
0.52443 0.38100
0.53644 0.38900
0.54844 0.41400
0.56043 0.40600
0.57243 0.42300
0.58442 0.36800
0.59641 0.39600
0.60839 0.45800
0.62035 0.44600
0.63230 0.44100
0.64426 0.43300
0.65621 0.43100
0.66814 0.49700
0.68007 0.45200
0.69198 0.49000
0.70388 0.48300
0.71576 0.53000
0.72761 0.55300
0.73944 0.60100
0.75125 0.56900
0.76303 0.63100
0.77479 0.62300
0.78651 0.70000
0.79819 0.72300
0.80982 0.81000
0.82139 0.82100
0.83291 0.88900
0.84436 0.97700
0.85572 1.09100
0.86699 1.16300
0.87814 1.32700
0.88917 1.40300
0.90003 1.64700
0.91071 1.75400
0.92112 2.11100
0.93121 2.50100
0.94088 3.05400
0.95006 3.50400
0.95866 4.09400
0.96658 4.70300
0.97373 5.54900
0.98007 6.28100
0.98561 7.61500
0.99043 8.94400
0.99461 10.95500
0.99826 13.10800
1.00147 16.05500
1.00431 19.17600
1.00685 23.12300
1.00915 27.45300
1.01124 32.68300
1.01316 37.29800
1.01491 50.23900
1.01654 59.74500
1.01806 70.09200
1.01951 75.27400
1.02091 87.46000
1.02225 99.54800
1.02356 117.15200
1.02488 117.38800
1.02623 99.56300
1.02766 88.63200
1.02917 82.56300
1.03079 73.26800
1.03252 58.58500
1.03439 41.09100
1.03643 30.74800
1.03867 25.63300
1.04115 19.73400
1.04395 15.51300
1.04713 11.67300
1.05078 9.37900
1.05503 7.13800
1.06002 5.68800
1.06591 4.31200
1.07284 3.28400
1.08089 2.47300
1.09000 1.83800
1.10001 1.35700
1.11070 1.05200
1.12185 0.85100
1.13333 0.66800
1.14504 0.48300
1.15691 0.40700
1.16889 0.36100
1.18095 0.29300
1.19307 0.21600
1.20523 0.22800
1.21742 0.21300
1.22965 0.12100
1.24191 0.15200
1.25418 0.13100
1.26646 0.13900
1.27877 0.07500
1.29109 0.09100
1.30342 0.09800
1.31576 0.04800
1.32811 0.08500
1.34048 0.01300
1.35287 0.03000
1.36527 0.01600
1.37766 0.01500
1.39006 0.04000
1.40246 0.02700
1.41486 -0.00300
1.42727 0.01800
1.43968 0.01500
1.45208 0.00800
1.46447 -0.03800
1.47686 -0.04500
1.48926 -0.01600
1.50165 -0.01100
1.51404 -0.04700
1.52641 -0.05800
1.53879 -0.03200
1.55116 -0.04400
1.56351 -0.08700
1.57586 -0.06200
1.58820 -0.08500
1.60053 -0.10400
1.61287 -0.05500
1.62519 -0.10400
1.63751 -0.11200
1.64983 -0.07900
1.66215 -0.08800
1.67447 -0.11500
1.68678 -0.08500
1.69909 -0.12800
1.71138 -0.10600
1.72367 -0.16000
1.73596 -0.08500
1.74824 -0.13200
1.76051 -0.16700
1.77277 -0.14700
1.78503 -0.15700
1.79727 -0.17900
1.80951 -0.16500
1.82175 -0.16200
1.83398 -0.18400
1.84619 -0.18200
1.85839 -0.25100
1.87058 -0.18200
1.88275 -0.27200
1.89490 -0.23300
1.90702 -0.30900
1.91912 -0.30000
1.93119 -0.35400
1.94323 -0.32800
1.95522 -0.40900
1.96713 -0.46100
1.97894 -0.52400
1.99056 -0.68200
2.00192 -1.04400
2.01288 -0.89200
2.02326 -1.65800
2.02971 -1.65800
