# s  curvatura
0.00000 -1.59500
0.05072 -1.60700
0.10235 -0.34300
0.15447 -0.14100
0.20682 0.16200
0.25915 0.42200
0.31123 0.69800
0.36291 1.02300
0.41402 1.96300
0.46460 0.84900
0.51498 0.79400
0.56531 0.65900
0.61567 0.71300
0.66608 0.69500
0.71662 0.71400
0.76734 0.82600
0.81835 0.92400
0.86979 1.20500
0.92200 1.72100
0.94859 1.87800
0.97571 3.38900
1.00394 4.76700
1.01907 15.42800
1.02584 21.55300
1.02967 50.46100
1.04580 38.24900
1.06179 42.38000
1.06547 23.01900
1.07198 14.92300
1.08663 4.22900
1.11413 2.98300
1.14064 1.55200
1.16670 1.48900
1.21795 0.99200
1.26855 0.78000
1.31876 0.66900
1.36873 0.59500
1.41855 0.54800
1.46827 0.64400
1.51793 0.51700
1.56761 0.69100
1.61734 0.74600
1.66725 1.87000
1.71775 0.91400
1.76885 0.56000
1.82040 0.25000
1.87224 -0.00500
1.92416 -0.44500
1.97593 -0.54600
2.02726 -2.68100
2.07775 -2.62600
