# s/c   delta_star
0 0.010037
0.00649 0.009272
0.01709 0.008401
0.02844 0.007607
0.04018 0.006913
0.05202 0.006361
0.06394 0.005941
0.07597 0.005605
0.08809 0.005317
0.10027 0.005071
0.11249 0.004851
0.12474 0.00465
0.137 0.004462
0.14925 0.004291
0.1615 0.004127
0.17374 0.003974
0.18596 0.003829
0.19817 0.003693
0.21037 0.003568
0.22257 0.003444
0.23476 0.003327
0.24692 0.003213
0.25906 0.003105
0.27119 0.003001
0.2833 0.002906
0.29541 0.002815
0.30752 0.002727
0.31961 0.002642
0.3317 0.002563
0.34378 0.002485
0.35586 0.002409
0.36794 0.002338
0.38001 0.002266
0.39206 0.002196
0.4041 0.002129
0.41614 0.002067
0.42818 0.002007
0.44022 0.001946
0.45225 0.001886
0.46428 0.001831
0.47632 0.001775
0.48835 0.00172
0.50038 0.001666
0.51241 0.001613
0.52443 0.00156
0.53644 0.001507
0.54844 0.001455
0.56043 0.001404
0.57243 0.001354
0.58442 0.001306
0.59641 0.001255
0.60839 0.001204
0.62035 0.001155
0.6323 0.001106
0.64426 0.001058
0.65621 0.00101
0.66814 0.00096
0.68007 0.000912
0.69198 0.000863
0.70388 0.000816
0.71576 0.000769
0.72761 0.000725
0.73944 0.000688
0.75125 0.000662
0.76303 0.000658
0.77479 0.000698
0.78651 0.000805
0.79819 0.000943
0.80982 0.000974
0.82139 0.000967
0.83291 0.000944
0.84436 0.00091
0.85572 0.00087
0.86699 0.000828
0.87814 0.000784
0.88917 0.00074
0.90003 0.000693
0.91071 0.000647
0.92112 0.000593
0.93121 0.000537
0.94088 0.000485
0.95006 0.000438
0.95866 0.000397
0.96658 0.00036
0.97373 0.000329
0.98007 0.000301
0.98561 0.000275
0.99043 0.000251
0.99461 0.000227
0.99826 0.000206
1.00147 0.000186
1.00431 0.000166
1.00685 0.000151
1.00915 0.000135
1.01124 0.000122
1.01316 0.000111
1.01491 0.000097
1.01654 0.000086
1.01806 0.000077
1.01951 0.00007
1.02091 0.000065
1.02225 0.00006
1.02356 0.000055
1.02488 0.000053
1.02623 0.000055
1.02766 0.000056
1.02917 0.000062
1.03079 0.000063
1.03252 0.000078
1.03439 0.000078
1.03643 0.000092
1.03867 0.000103
1.04115 0.000114
1.04395 0.000128
1.04713 0.000144
1.05078 0.000159
1.05503 0.000178
1.06002 0.000199
1.06591 0.000223
1.07284 0.00025
1.08089 0.000279
1.09 0.000311
1.10001 0.000345
1.1107 0.000377
1.12185 0.000409
1.13333 0.000442
1.14504 0.000473
1.15691 0.000502
1.16889 0.00053
1.18095 0.000557
1.19307 0.000585
1.20523 0.000609
1.21742 0.000633
1.22965 0.00066
1.24191 0.000682
1.25418 0.000705
1.26646 0.000728
1.27877 0.000751
1.29109 0.000773
1.30342 0.000795
1.31576 0.000816
1.32811 0.000839
1.34048 0.00086
1.35287 0.000882
1.36527 0.0009
1.37766 0.00092
1.39006 0.000937
1.40246 0.000957
1.41486 0.000978
1.42727 0.000995
1.43968 0.001016
1.45208 0.001035
1.46447 0.001058
1.47686 0.001077
1.48926 0.001094
1.50165 0.00111
1.51404 0.001132
1.52641 0.001149
1.53879 0.001167
1.55116 0.001185
1.56351 0.001204
1.57586 0.00122
1.5882 0.001237
1.60053 0.001253
1.61287 0.001267
1.62519 0.001285
1.63751 0.001297
1.64983 0.001311
1.66215 0.001325
1.67447 0.00134
1.68678 0.001353
1.69909 0.001368
1.71138 0.001382
1.72367 0.001395
1.73596 0.001405
1.74824 0.001421
1.76051 0.001434
1.77277 0.001446
1.78503 0.001457
1.79727 0.001467
1.80951 0.001475
1.82175 0.001485
1.83398 0.001495
1.84619 0.001502
1.85839 0.001513
1.87058 0.001516
1.88275 0.001524
1.8949 0.001527
1.90702 0.001532
1.91912 0.001529
1.93119 0.001529
1.94323 0.001519
1.95522 0.001514
1.96713 0.001498
1.97894 0.00148
1.99056 0.001457
2.00192 0.001416
2.01288 0.001348
2.02326 0.001253
2.02971 0.001265
2.02971 0.011302
2.03618 0.010319
2.04344 0.00982
2.05158 0.009383
2.06071 0.008989
2.07096 0.008623
2.08245 0.008278
2.09534 0.007952
2.10979 0.007643
2.12601 0.00735
2.1442 0.007072
2.1646 0.00681
2.18749 0.006563
2.21317 0.006331
2.24196 0.006115
2.27427 0.005915
2.3105 0.005731
2.35115 0.005562
2.39674 0.005408
2.44788 0.005269
2.50525 0.005145
2.5696 0.005034
2.64178 0.004937
2.72275 0.004852
2.81357 0.004778
2.91544 0.004714
3.02971 0.004657
 
