#M      cl
0.0000 0.700000
0.0100 0.700035
0.0200 0.700140
0.0300 0.700315
0.0400 0.700561
0.0500 0.700877
0.0600 0.701263
0.0700 0.701721
0.0800 0.702251
0.0900 0.702852
0.1000 0.703526
0.1100 0.704274
0.1200 0.705095
0.1300 0.705991
0.1400 0.706963
0.1500 0.708010
0.1600 0.709136
0.1700 0.710340
0.1800 0.711623
0.1900 0.712988
0.2000 0.714435
0.2100 0.715965
0.2200 0.717581
0.2300 0.719284
0.2400 0.721075
0.2500 0.722957
0.2600 0.724931
0.2700 0.727001
0.2800 0.729167
0.2900 0.731432
0.3000 0.733799
0.3100 0.736271
0.3200 0.738851
0.3300 0.741540
0.3400 0.744344
0.3500 0.747265
0.3600 0.750306
0.3700 0.753473
0.3800 0.756768
0.3900 0.760196
0.4000 0.763763
0.4100 0.767472
0.4200 0.771329
0.4300 0.775341
0.4400 0.779512
0.4500 0.783850
0.4600 0.788360
0.4700 0.793052
0.4800 0.797931
0.4900 0.803008
0.5000 0.808290
0.5100 0.813788
0.5200 0.819513
0.5300 0.825474
0.5400 0.831685
0.5500 0.838158
0.5600 0.844908
0.5700 0.851950
0.5800 0.859300
0.5890 0.866194
