#    x        Cp  
   1.00000  0.17109
   0.99361  0.14701
   0.98319  0.12066
   0.97205  0.09463
   0.96053  0.06981
   0.94889  0.04813
   0.93716  0.02899
   0.92532  0.00951
   0.91338 -0.01424
   0.90137 -0.04673
   0.88932 -0.09434
   0.87723 -0.16596
   0.86514 -0.24856
   0.85305 -0.33446
   0.84095 -0.38083
   0.82886 -0.38322
   0.81679 -0.38522
   0.80472 -0.38696
   0.79266 -0.38854
   0.78059 -0.38999
   0.76853 -0.39137
   0.75649 -0.39269
   0.74447 -0.39402
   0.73246 -0.39538
   0.72045 -0.39681
   0.70844 -0.39835
   0.69643 -0.40002
   0.68443 -0.40187
   0.67242 -0.40395
   0.66042 -0.40629
   0.64841 -0.40895
   0.63640 -0.41201
   0.62440 -0.41549
   0.61241 -0.41948
   0.60042 -0.42403
   0.58843 -0.42918
   0.57643 -0.43494
   0.56443 -0.44128
   0.55243 -0.44808
   0.54044 -0.45542
   0.52843 -0.46337
   0.51642 -0.47188
   0.50441 -0.48090
   0.49240 -0.49028
   0.48040 -0.49998
   0.46840 -0.50983
   0.45641 -0.51972
   0.44442 -0.52956
   0.43244 -0.53922
   0.42045 -0.54879
   0.40846 -0.55845
   0.39649 -0.56797
   0.38453 -0.57732
   0.37257 -0.58647
   0.36062 -0.59552
   0.34867 -0.60459
   0.33673 -0.61384
   0.32481 -0.62293
   0.31290 -0.63228
   0.30100 -0.64164
   0.28913 -0.65140
   0.27728 -0.66124
   0.26547 -0.67098
   0.25368 -0.68064
   0.24191 -0.69091
   0.23018 -0.70127
   0.21849 -0.71219
   0.20685 -0.72340
   0.19527 -0.73473
   0.18375 -0.74661
   0.17230 -0.75852
   0.16093 -0.77141
   0.14967 -0.78428
   0.13852 -0.79724
   0.12750 -0.81040
   0.11663 -0.82382
   0.10595 -0.83756
   0.09550 -0.85048
   0.08534 -0.86555
   0.07556 -0.87843
   0.06623 -0.88859
   0.05745 -0.89144
   0.04931 -0.88760
   0.04191 -0.87539
   0.03532 -0.85676
   0.02957 -0.83232
   0.02464 -0.80208
   0.02044 -0.77001
   0.01688 -0.73176
   0.01386 -0.68819
   0.01129 -0.63479
   0.00910 -0.57638
   0.00723 -0.50293
   0.00562 -0.41563
   0.00425 -0.31417
   0.00310 -0.20263
   0.00214 -0.08286
   0.00137  0.06864
   0.00078  0.23817
   0.00035  0.41667
   0.00009  0.60027
   0.00000  0.76030
   0.00008  0.89192
   0.00037  0.97857
   0.00085  0.99932
   0.00154  0.96109
   0.00244  0.87709
   0.00356  0.76735
   0.00491  0.65468
   0.00648  0.55836
   0.00827  0.47374
   0.01030  0.39835
   0.01262  0.33584
   0.01527  0.28318
   0.01833  0.23920
   0.02189  0.20163
   0.02606  0.17165
   0.03099  0.14587
   0.03683  0.12593
   0.04373  0.11038
   0.05175  0.10008
   0.06084  0.09340
   0.07084  0.09051
   0.08153  0.08903
   0.09269  0.08807
   0.10417  0.08898
   0.11588  0.09028
   0.12775  0.09137
   0.13972  0.09270
   0.15178  0.09422
   0.16389  0.09565
   0.17605  0.09677
   0.18824  0.09818
   0.20046  0.09975
   0.21271  0.10101
   0.22498  0.10231
   0.23725  0.10377
   0.24955  0.10536
   0.26186  0.10689
   0.27417  0.10844
   0.28651  0.11016
   0.29885  0.11193
   0.31121  0.11381
   0.32359  0.11559
   0.33597  0.11728
   0.34835  0.11884
   0.36074  0.12040
   0.37312  0.12208
   0.38551  0.12393
   0.39791  0.12547
   0.41030  0.12746
   0.42269  0.12928
   0.43507  0.13124
   0.44745  0.13325
   0.45983  0.13504
   0.47221  0.13685
   0.48459  0.13883
   0.49695  0.14074
   0.50931  0.14258
   0.52167  0.14448
   0.53402  0.14643
   0.54635  0.14824
   0.55868  0.15006
   0.57100  0.15180
   0.58333  0.15344
   0.59565  0.15517
   0.60796  0.15670
   0.62027  0.15822
   0.63259  0.15973
   0.64489  0.16123
   0.65720  0.16272
   0.66950  0.16419
   0.68179  0.16561
   0.69407  0.16701
   0.70636  0.16827
   0.71864  0.16970
   0.73091  0.17104
   0.74316  0.17229
   0.75541  0.17346
   0.76766  0.17462
   0.77990  0.17563
   0.79213  0.17668
   0.80436  0.17768
   0.81658  0.17860
   0.82878  0.17957
   0.84096  0.18028
   0.85313  0.18103
   0.86528  0.18159
   0.87740  0.18209
   0.88950  0.18230
   0.90157  0.18241
   0.91360  0.18210
   0.92559  0.18175
   0.93750  0.18090
   0.94930  0.17968
   0.96092  0.17803
   0.97226  0.17538
   0.98321  0.17110
   0.99357  0.16593
   1.00000  0.17109
