#    x        Cp  
   1.00000  0.15123
   0.99361  0.13144
   0.98319  0.10388
   0.97205  0.07354
   0.96053  0.04183
   0.94889  0.01199
   0.93716 -0.01425
   0.92532 -0.03778
   0.91338 -0.06003
   0.90137 -0.08066
   0.88932 -0.10049
   0.87723 -0.11987
   0.86514 -0.13907
   0.85305 -0.15759
   0.84095 -0.17621
   0.82886 -0.19456
   0.81679 -0.21280
   0.80472 -0.23076
   0.79266 -0.24795
   0.78059 -0.26564
   0.76853 -0.28320
   0.75649 -0.30087
   0.74447 -0.31811
   0.73246 -0.33541
   0.72045 -0.35175
   0.70844 -0.36791
   0.69643 -0.38382
   0.68443 -0.39977
   0.67242 -0.41488
   0.66042 -0.43014
   0.64841 -0.44532
   0.63640 -0.45987
   0.62440 -0.47494
   0.61241 -0.48989
   0.60042 -0.50439
   0.58843 -0.51793
   0.57643 -0.53118
   0.56443 -0.54503
   0.55243 -0.55887
   0.54044 -0.57136
   0.52843 -0.58435
   0.51642 -0.59723
   0.50441 -0.61039
   0.49240 -0.62301
   0.48040 -0.63630
   0.46840 -0.64962
   0.45641 -0.66287
   0.44442 -0.67564
   0.43244 -0.68825
   0.42045 -0.70009
   0.40846 -0.71362
   0.39649 -0.72770
   0.38453 -0.74060
   0.37257 -0.75353
   0.36062 -0.76608
   0.34867 -0.77938
   0.33673 -0.79347
   0.32481 -0.80680
   0.31290 -0.82086
   0.30100 -0.83456
   0.28913 -0.84964
   0.27728 -0.86404
   0.26547 -0.87769
   0.25368 -0.88960
   0.24191 -0.90403
   0.23018 -0.92368
   0.21849 -0.96800
   0.20685 -1.03604
   0.19527 -1.05421
   0.18375 -1.07248
   0.17230 -1.09499
   0.16093 -1.12061
   0.14967 -1.14897
   0.13852 -1.17957
   0.12750 -1.21292
   0.11663 -1.24901
   0.10595 -1.28858
   0.09550 -1.33133
   0.08534 -1.37920
   0.07556 -1.43066
   0.06623 -1.48297
   0.05745 -1.53404
   0.04931 -1.58182
   0.04191 -1.62692
   0.03532 -1.66822
   0.02957 -1.70800
   0.02464 -1.74774
   0.02044 -1.78586
   0.01688 -1.82285
   0.01386 -1.85473
   0.01129 -1.88284
   0.00910 -1.90255
   0.00723 -1.90512
   0.00562 -1.89747
   0.00425 -1.86877
   0.00310 -1.82499
   0.00214 -1.77023
   0.00137 -1.65426
   0.00078 -1.48334
   0.00035 -1.25045
   0.00009 -0.96942
   0.00000 -0.65899
   0.00008 -0.31728
   0.00037  0.07281
   0.00085  0.41917
   0.00154  0.68455
   0.00244  0.86433
   0.00356  0.96332
   0.00491  0.99890
   0.00648  0.99059
   0.00827  0.95626
   0.01030  0.91083
   0.01262  0.85716
   0.01527  0.80187
   0.01833  0.74769
   0.02189  0.69325
   0.02606  0.64107
   0.03099  0.59173
   0.03683  0.54509
   0.04373  0.50297
   0.05175  0.46530
   0.06084  0.43266
   0.07084  0.40568
   0.08153  0.38243
   0.09269  0.36300
   0.10417  0.34718
   0.11588  0.33385
   0.12775  0.32226
   0.13972  0.31186
   0.15178  0.30289
   0.16389  0.29530
   0.17605  0.28800
   0.18824  0.28147
   0.20046  0.27616
   0.21271  0.27073
   0.22498  0.26591
   0.23725  0.26176
   0.24955  0.25810
   0.26186  0.25456
   0.27417  0.25147
   0.28651  0.24864
   0.29885  0.24623
   0.31121  0.24401
   0.32359  0.24214
   0.33597  0.24006
   0.34835  0.23823
   0.36074  0.23616
   0.37312  0.23466
   0.38551  0.23347
   0.39791  0.23197
   0.41030  0.23104
   0.42269  0.23007
   0.43507  0.22960
   0.44745  0.22894
   0.45983  0.22822
   0.47221  0.22738
   0.48459  0.22722
   0.49695  0.22677
   0.50931  0.22636
   0.52167  0.22607
   0.53402  0.22599
   0.54635  0.22570
   0.55868  0.22550
   0.57100  0.22527
   0.58333  0.22486
   0.59565  0.22479
   0.60796  0.22425
   0.62027  0.22393
   0.63259  0.22355
   0.64489  0.22330
   0.65720  0.22294
   0.66950  0.22270
   0.68179  0.22240
   0.69407  0.22210
   0.70636  0.22148
   0.71864  0.22143
   0.73091  0.22112
   0.74316  0.22071
   0.75541  0.22023
   0.76766  0.21971
   0.77990  0.21897
   0.79213  0.21837
   0.80436  0.21775
   0.81658  0.21692
   0.82878  0.21639
   0.84096  0.21520
   0.85313  0.21430
   0.86528  0.21306
   0.87740  0.21186
   0.88950  0.21000
   0.90157  0.20823
   0.91360  0.20548
   0.92559  0.20295
   0.93750  0.19935
   0.94930  0.19517
   0.96092  0.19015
   0.97226  0.18271
   0.98321  0.17097
   0.99357  0.15302
   1.00000  0.15123
