     Cd       T1_Re10.00_M0.00_N9.0    
   0.09841762         -1.582577  
   0.08549451         -1.593613  
   0.07513415         -1.586082  
   0.06454221         -1.583061  
   0.05521876         -1.571246  
   0.04728775         -1.526584  
   0.03990154         -1.440291  
   0.03385695         -1.332243  
   0.02887098         -1.295483  
    0.0246178         -1.252542  
   0.02102437         -1.204588  
   0.01766866         -1.158606  
   0.01504149         -1.104457  
   0.01274267         -1.050612  
   0.01102063        -0.9969525  
   0.01004986        -0.9361837  
  0.009294429         -0.841145  
  0.008640349        -0.7378185  
   0.00805848        -0.6294765  
  0.007467264        -0.5186773  
  0.006624496        -0.4077289  
  0.005694482        -0.2953115  
  0.004704089        -0.1805736  
  0.004429419       -0.05998526  
  0.004367422        0.06276524  
  0.004375798         0.1848527  
  0.004395403         0.3074328  
  0.004499449         0.4287455  
  0.004710725         0.5486363  
  0.005297274         0.6626409  
   0.00670958         0.7626492  
  0.007732979         0.8650803  
  0.008803142         0.9613486  
  0.009747412          1.053157  
   0.01073389          1.119961  
   0.01218528          1.173307  
   0.01407755           1.23104  
   0.01659955          1.284815  
   0.01969354          1.335355  
   0.02335597          1.382134  
    0.0277652          1.424339  
   0.03304275          1.461349  
   0.03875131          1.498369  
   0.04513456          1.531396  
   0.05211235          1.567695  
   0.05972177          1.595315  
   0.06909231          1.611578  
   0.07882749          1.628537  
   0.09003778          1.638018  
     0.101801          1.646282  
    0.1144359          1.650205  

