     Cd       T1_Re 7.00_M0.00_N9.0    
    0.1073832          -1.50565  
   0.09264572         -1.528235  
   0.08005681          -1.53706  
   0.06941525         -1.532508  
   0.06006455         -1.518593  
   0.05234433         -1.491584  
   0.04458763         -1.451407  
   0.03689477         -1.337895  
    0.0316255         -1.258411  
   0.02713973         -1.215966  
   0.02294289          -1.17514  
    0.0195813         -1.125566  
   0.01649021         -1.077076  
   0.01402601         -1.022258  
   0.01209052        -0.9644191  
   0.01069506        -0.9194874  
  0.009865084        -0.8305958  
  0.009121116        -0.7312197  
  0.008485119        -0.6250533  
  0.007602342          -0.51902  
  0.005505034        -0.2990255  
  0.004763931        -0.1829217  
  0.004682186       -0.06078787  
  0.004665027        0.06099245  
  0.004628599         0.1836296  
  0.004705211         0.3052929  
  0.004769091         0.4269013  
  0.004925853         0.5470948  
   0.00518183         0.6654174  
  0.006424545         0.7683397  
  0.007744738         0.8657845  
  0.009055157         0.9566739  
   0.01014407          1.043039  
   0.01131031          1.098852  
     0.013125          1.148679  
   0.01535536          1.203764  
   0.01816829          1.256273  
   0.02157844          1.304794  
   0.02564271          1.348757  
   0.03032539           1.39098  
   0.03577486          1.428614  
   0.04200021          1.461707  
    0.0483249          1.502757  
   0.05622987          1.527657  
   0.06443191          1.553315  
   0.07356786          1.574724  
    0.0836955          1.591381  
    0.0956253          1.597909  
     0.108841          1.597863  
    0.1237385          1.588366  

