# ascissa  spessore
0.00000 0.00139
0.00334 0.01631
0.00669 0.02180
0.01003 0.02502
0.01338 0.02863
0.01672 0.03260
0.02007 0.03633
0.02341 0.03948
0.02676 0.04209
0.03010 0.04427
0.03344 0.04616
0.03679 0.04791
0.04013 0.04960
0.04348 0.05124
0.04682 0.05283
0.05017 0.05437
0.05351 0.05584
0.05686 0.05723
0.06020 0.05853
0.06355 0.05975
0.06689 0.06089
0.07023 0.06196
0.07358 0.06297
0.07692 0.06392
0.08027 0.06482
0.08361 0.06569
0.08696 0.06652
0.09030 0.06732
0.09365 0.06809
0.09699 0.06883
0.10033 0.06955
0.10368 0.07024
0.10702 0.07090
0.11037 0.07154
0.11371 0.07216
0.11706 0.07275
0.12040 0.07331
0.12375 0.07385
0.12709 0.07438
0.13043 0.07488
0.13378 0.07536
0.13712 0.07582
0.14047 0.07626
0.14381 0.07668
0.14716 0.07709
0.15050 0.07749
0.15385 0.07786
0.15719 0.07823
0.16054 0.07857
0.16388 0.07891
0.16722 0.07923
0.17057 0.07953
0.17391 0.07983
0.17726 0.08011
0.18060 0.08038
0.18395 0.08063
0.18729 0.08088
0.19064 0.08111
0.19398 0.08133
0.19732 0.08154
0.20067 0.08174
0.20401 0.08193
0.20736 0.08211
0.21070 0.08228
0.21405 0.08244
0.21739 0.08259
0.22074 0.08273
0.22408 0.08286
0.22742 0.08298
0.23077 0.08310
0.23411 0.08320
0.23746 0.08330
0.24080 0.08338
0.24415 0.08346
0.24749 0.08354
0.25084 0.08360
0.25418 0.08366
0.25753 0.08370
0.26087 0.08375
0.26421 0.08378
0.26756 0.08380
0.27090 0.08382
0.27425 0.08383
0.27759 0.08384
0.28094 0.08383
0.28428 0.08382
0.28763 0.08380
0.29097 0.08378
0.29431 0.08375
0.29766 0.08371
0.30100 0.08367
0.30435 0.08362
0.30769 0.08357
0.31104 0.08350
0.31438 0.08344
0.31773 0.08336
0.32107 0.08328
0.32441 0.08320
0.32776 0.08311
0.33110 0.08301
0.33445 0.08291
0.33779 0.08281
0.34114 0.08269
0.34448 0.08258
0.34783 0.08245
0.35117 0.08232
0.35452 0.08219
0.35786 0.08205
0.36120 0.08191
0.36455 0.08176
0.36789 0.08160
0.37124 0.08144
0.37458 0.08128
0.37793 0.08111
0.38127 0.08093
0.38462 0.08075
0.38796 0.08057
0.39130 0.08038
0.39465 0.08018
0.39799 0.07998
0.40134 0.07978
0.40468 0.07957
0.40803 0.07935
0.41137 0.07913
0.41472 0.07891
0.41806 0.07868
0.42140 0.07845
0.42475 0.07821
0.42809 0.07797
0.43144 0.07772
0.43478 0.07747
0.43813 0.07722
0.44147 0.07696
0.44482 0.07669
0.44816 0.07643
0.45151 0.07615
0.45485 0.07588
0.45819 0.07560
0.46154 0.07531
0.46488 0.07502
0.46823 0.07473
0.47157 0.07443
0.47492 0.07413
0.47826 0.07382
0.48161 0.07351
0.48495 0.07320
0.48829 0.07288
0.49164 0.07256
0.49498 0.07224
0.49833 0.07191
0.50167 0.07158
0.50502 0.07124
0.50836 0.07090
0.51171 0.07056
0.51505 0.07021
0.51839 0.06986
0.52174 0.06951
0.52508 0.06915
0.52843 0.06879
0.53177 0.06843
0.53512 0.06806
0.53846 0.06769
0.54181 0.06732
0.54515 0.06694
0.54849 0.06656
0.55184 0.06618
0.55518 0.06579
0.55853 0.06540
0.56187 0.06501
0.56522 0.06461
0.56856 0.06421
0.57191 0.06381
0.57525 0.06340
0.57860 0.06299
0.58194 0.06258
0.58528 0.06216
0.58863 0.06174
0.59197 0.06132
0.59532 0.06090
0.59866 0.06047
0.60201 0.06004
0.60535 0.05960
0.60870 0.05916
0.61204 0.05873
0.61538 0.05828
0.61873 0.05784
0.62207 0.05739
0.62542 0.05694
0.62876 0.05648
0.63211 0.05603
0.63545 0.05557
0.63880 0.05511
0.64214 0.05464
0.64548 0.05417
0.64883 0.05370
0.65217 0.05323
0.65552 0.05276
0.65886 0.05228
0.66221 0.05180
0.66555 0.05132
0.66890 0.05083
0.67224 0.05035
0.67559 0.04986
0.67893 0.04937
0.68227 0.04887
0.68562 0.04838
0.68896 0.04788
0.69231 0.04738
0.69565 0.04687
0.69900 0.04637
0.70234 0.04586
0.70569 0.04535
0.70903 0.04484
0.71237 0.04433
0.71572 0.04381
0.71906 0.04330
0.72241 0.04278
0.72575 0.04226
0.72910 0.04174
0.73244 0.04121
0.73579 0.04069
0.73913 0.04016
0.74247 0.03963
0.74582 0.03910
0.74916 0.03857
0.75251 0.03804
0.75585 0.03750
0.75920 0.03697
0.76254 0.03643
0.76589 0.03589
0.76923 0.03536
0.77258 0.03482
0.77592 0.03428
0.77926 0.03374
0.78261 0.03320
0.78595 0.03266
0.78930 0.03211
0.79264 0.03157
0.79599 0.03103
0.79933 0.03049
0.80268 0.02995
0.80602 0.02940
0.80936 0.02886
0.81271 0.02832
0.81605 0.02777
0.81940 0.02723
0.82274 0.02669
0.82609 0.02614
0.82943 0.02560
0.83278 0.02505
0.83612 0.02451
0.83946 0.02397
0.84281 0.02343
0.84615 0.02289
0.84950 0.02235
0.85284 0.02181
0.85619 0.02127
0.85953 0.02073
0.86288 0.02019
0.86622 0.01966
0.86957 0.01912
0.87291 0.01859
0.87625 0.01806
0.87960 0.01753
0.88294 0.01700
0.88629 0.01647
0.88963 0.01595
0.89298 0.01542
0.89632 0.01490
0.89967 0.01438
0.90301 0.01386
0.90635 0.01335
0.90970 0.01283
0.91304 0.01232
0.91639 0.01181
0.91973 0.01130
0.92308 0.01079
0.92642 0.01028
0.92977 0.00977
0.93311 0.00927
0.93645 0.00877
0.93980 0.00826
0.94314 0.00776
0.94649 0.00726
0.94983 0.00675
0.95318 0.00625
0.95652 0.00574
0.95987 0.00524
0.96321 0.00474
0.96656 0.00424
0.96990 0.00374
0.97324 0.00324
0.97659 0.00276
0.97993 0.00228
0.98328 0.00183
0.98662 0.00139
0.98997 0.00098
0.99331 0.00061
0.99666 0.00028
1.00000 0.00000
